feature	importance	std
seq_A020	0.0	0.0
seq_A022	0.0	0.0
seq_A025	0.0	0.0
seq_A026	0.0	0.0
seq_A028	0.0	0.0
seq_A029	0.0	0.0
seq_A030	0.0	0.0
seq_A031	0.0	0.0
seq_A032	0.0	0.0
seq_A033	0.0	0.0
seq_A036	0.0	0.0
seq_A037	0.0	0.0
seq_A038	0.0	0.0
seq_A039	0.0	0.0
seq_A041	0.0	0.0
seq_A042	0.0	0.0
seq_A043	0.0	0.0
seq_A050	0.0	0.0
seq_A051	0.0	0.0
seq_A054	0.0	0.0
seq_A056	0.0	0.0
seq_A058	0.0	0.0
seq_A059	0.0	0.0
seq_A062	0.0	0.0
seq_A063	0.0	0.0
seq_A065	0.0	0.0
seq_A066	0.0	0.0
seq_A067	0.0	0.0
seq_A070	0.0	0.0
seq_A071	0.0	0.0
seq_A072	0.0	0.0
seq_A074	0.0	0.0
seq_A075	0.0	0.0
seq_A076	0.0	0.0
seq_A077	0.0	0.0
seq_A079	0.0	0.0
seq_A080	0.0	0.0
seq_A081	0.0	0.0
seq_A082	0.0	0.0
seq_A083	0.0	0.0
seq_A085	0.0	0.0
seq_A087	0.0	0.0
seq_A088	0.0	0.0
seq_A090	0.0	0.0
seq_A092	0.0	0.0
seq_A093	0.0	0.0
seq_A096	0.0	0.0
seq_A097	0.0	0.0
seq_A098	0.0	0.0
seq_A099	0.0	0.0
seq_A101	0.0	0.0
seq_A102	0.0	0.0
seq_A103	0.0	0.0
seq_A105	0.0	0.0
seq_A106	0.0	0.0
seq_A107	0.0	0.0
seq_A109	0.0	0.0
seq_A111	0.0	0.0
seq_A112	0.0	0.0
seq_A114	0.0	0.0
seq_A115	0.0	0.0
seq_A116	0.0	0.0
seq_A117	0.0	0.0
seq_A118	0.0	0.0
seq_A119	0.0	0.0
seq_A120	0.0	0.0
seq_A123	0.0	0.0
seq_A126	0.0	0.0
seq_A128	0.0	0.0
seq_A129	0.0	0.0
seq_A130	0.0	0.0
seq_A133	0.0	0.0
seq_A135	0.0	0.0
seq_A137	0.0	0.0
seq_A139	0.0	0.0
seq_A140	0.0	0.0
seq_A142	0.0	0.0
seq_A144	0.0	0.0
seq_A145	0.0	0.0
seq_A146	0.0	0.0
seq_A148	0.0	0.0
seq_A149	0.0	0.0
seq_A150	0.0	0.0
seq_A151	0.0	0.0
seq_A152	0.0	0.0
seq_A154	0.0	0.0
seq_A155	0.0	0.0
seq_A157	0.0	0.0
seq_A159	0.0	0.0
seq_A160	0.0	0.0
seq_A162	0.0	0.0
seq_A166	0.0	0.0
seq_A168	0.0	0.0
seq_A169	0.0	0.0
seq_A170	0.0	0.0
seq_A171	0.0	0.0
seq_A174	0.0	0.0
seq_A175	0.0	0.0
seq_A176	0.0	0.0
seq_A177	0.0	0.0
seq_A178	0.0	0.0
seq_A179	0.0	0.0
seq_A180	0.0	0.0
seq_A181	0.0	0.0
seq_A182	0.0	0.0
seq_A184	0.0	0.0
seq_A186	0.0	0.0
seq_A190	0.0	0.0
seq_A195	0.0	0.0
seq_A196	0.0	0.0
seq_A201	0.0	0.0
seq_A204	0.0	0.0
seq_A206	0.0	0.0
seq_A208	0.0	0.0
seq_A211	0.0	0.0
seq_A212	0.0	0.0
seq_A213	0.0	0.0
seq_A214	0.0	0.0
seq_A215	0.0	0.0
seq_A216	0.0	0.0
seq_A217	0.0	0.0
seq_A218	0.0	0.0
seq_A219	0.0	0.0
seq_A220	0.0	0.0
seq_A221	0.0	0.0
seq_A222	0.0	0.0
seq_A224	0.0	0.0
seq_A225	0.0	0.0
seq_A226	0.0	0.0
seq_A227	0.0	0.0
seq_A229	0.0	0.0
seq_A230	0.0	0.0
seq_C000	0.0	0.0
seq_C001	0.0	0.0
seq_C002	0.0	0.0
seq_C003	0.0	0.0
seq_C004	0.0	0.0
seq_C005	0.0	0.0
seq_C006	0.0	0.0
seq_C007	0.0	0.0
seq_C008	0.0	0.0
seq_C009	0.0	0.0
seq_C010	0.0	0.0
seq_C011	0.0	0.0
seq_C012	0.0	0.0
seq_C014	0.0	0.0
seq_C016	0.0	0.0
seq_C018	0.0	0.0
seq_C020	0.0	0.0
seq_C022	0.0	0.0
seq_C024	0.0	0.0
seq_C030	0.0	0.0
seq_C031	0.0	0.0
seq_C036	0.0	0.0
seq_C037	0.0	0.0
seq_C038	0.0	0.0
seq_C039	0.0	0.0
seq_C041	0.0	0.0
seq_C042	0.0	0.0
seq_C046	0.0	0.0
seq_C047	0.0	0.0
seq_C050	0.0	0.0
seq_C051	0.0	0.0
seq_C058	0.0	0.0
seq_C059	0.0	0.0
seq_C063	0.0	0.0
seq_C066	0.0	0.0
seq_C069	0.0	0.0
seq_C071	0.0	0.0
seq_C072	0.0	0.0
seq_C073	0.0	0.0
seq_C074	0.0	0.0
seq_C075	0.0	0.0
seq_C076	0.0	0.0
seq_C080	0.0	0.0
seq_C081	0.0	0.0
seq_C083	0.0	0.0
seq_C084	0.0	0.0
seq_C085	0.0	0.0
seq_C086	0.0	0.0
seq_C087	0.0	0.0
seq_C091	0.0	0.0
seq_C092	0.0	0.0
seq_C093	0.0	0.0
seq_C095	0.0	0.0
seq_C096	0.0	0.0
seq_C098	0.0	0.0
seq_C099	0.0	0.0
seq_C100	0.0	0.0
seq_C103	0.0	0.0
seq_C104	0.0	0.0
seq_C106	0.0	0.0
seq_C108	0.0	0.0
seq_C111	0.0	0.0
seq_C112	0.0	0.0
seq_C114	0.0	0.0
seq_C115	0.0	0.0
seq_C116	0.0	0.0
seq_C118	0.0	0.0
seq_C120	0.0	0.0
seq_C121	0.0	0.0
seq_C123	0.0	0.0
seq_C124	0.0	0.0
seq_C126	0.0	0.0
seq_C129	0.0	0.0
seq_C130	0.0	0.0
seq_C135	0.0	0.0
seq_C136	0.0	0.0
seq_C138	0.0	0.0
seq_C140	0.0	0.0
seq_C142	0.0	0.0
seq_C145	0.0	0.0
seq_C147	0.0	0.0
seq_C148	0.0	0.0
seq_C150	0.0	0.0
seq_C151	0.0	0.0
seq_C158	0.0	0.0
seq_C162	0.0	0.0
seq_C167	0.0	0.0
seq_C168	0.0	0.0
seq_C169	0.0	0.0
seq_C170	0.0	0.0
seq_C171	0.0	0.0
seq_C172	0.0	0.0
seq_C173	0.0	0.0
seq_C174	0.0	0.0
seq_C175	0.0	0.0
seq_C178	0.0	0.0
seq_C179	0.0	0.0
seq_C180	0.0	0.0
seq_C181	0.0	0.0
seq_C182	0.0	0.0
seq_C183	0.0	0.0
seq_C185	0.0	0.0
seq_C186	0.0	0.0
seq_C187	0.0	0.0
seq_C201	0.0	0.0
seq_C202	0.0	0.0
seq_C206	0.0	0.0
seq_C207	0.0	0.0
seq_C208	0.0	0.0
seq_C209	0.0	0.0
seq_C210	0.0	0.0
seq_C211	0.0	0.0
seq_C212	0.0	0.0
seq_C213	0.0	0.0
seq_C214	0.0	0.0
seq_C215	0.0	0.0
seq_C216	0.0	0.0
seq_C217	0.0	0.0
seq_C219	0.0	0.0
seq_C221	0.0	0.0
seq_C225	0.0	0.0
seq_C229	0.0	0.0
seq_C230	0.0	0.0
seq_D000	0.0	0.0
seq_D001	0.0	0.0
seq_D002	0.0	0.0
seq_D003	0.0	0.0
seq_D004	0.0	0.0
seq_D005	0.0	0.0
seq_D006	0.0	0.0
seq_D007	0.0	0.0
seq_D009	0.0	0.0
seq_D010	0.0	0.0
seq_D011	0.0	0.0
seq_D012	0.0	0.0
seq_D013	0.0	0.0
seq_D015	0.0	0.0
seq_D016	0.0	0.0
seq_D020	0.0	0.0
seq_D025	0.0	0.0
seq_D027	0.0	0.0
seq_D028	0.0	0.0
seq_D029	0.0	0.0
seq_D030	0.0	0.0
seq_D031	0.0	0.0
seq_D036	0.0	0.0
seq_D037	0.0	0.0
seq_D038	0.0	0.0
seq_D041	0.0	0.0
seq_D042	0.0	0.0
seq_D043	0.0	0.0
seq_D044	0.0	0.0
seq_D050	0.0	0.0
seq_D051	0.0	0.0
seq_D053	0.0	0.0
seq_D054	0.0	0.0
seq_D058	0.0	0.0
seq_D059	0.0	0.0
seq_D063	0.0	0.0
seq_D066	0.0	0.0
seq_D069	0.0	0.0
seq_D070	0.0	0.0
seq_D071	0.0	0.0
seq_D074	0.0	0.0
seq_D075	0.0	0.0
seq_D076	0.0	0.0
seq_D078	0.0	0.0
seq_D081	0.0	0.0
seq_D082	0.0	0.0
seq_D083	0.0	0.0
seq_D084	0.0	0.0
seq_D085	0.0	0.0
seq_D087	0.0	0.0
seq_D089	0.0	0.0
seq_D090	0.0	0.0
seq_D091	0.0	0.0
seq_D092	0.0	0.0
seq_D098	0.0	0.0
seq_D100	0.0	0.0
seq_D101	0.0	0.0
seq_D104	0.0	0.0
seq_D105	0.0	0.0
seq_D106	0.0	0.0
seq_D107	0.0	0.0
seq_D108	0.0	0.0
seq_D109	0.0	0.0
seq_D110	0.0	0.0
seq_D111	0.0	0.0
seq_D112	0.0	0.0
seq_D113	0.0	0.0
seq_D114	0.0	0.0
seq_D117	0.0	0.0
seq_D118	0.0	0.0
seq_D120	0.0	0.0
seq_D121	0.0	0.0
seq_D123	0.0	0.0
seq_D125	0.0	0.0
seq_D126	0.0	0.0
seq_D129	0.0	0.0
seq_D130	0.0	0.0
seq_D131	0.0	0.0
seq_D132	0.0	0.0
seq_D137	0.0	0.0
seq_D138	0.0	0.0
seq_D139	0.0	0.0
seq_D142	0.0	0.0
seq_D144	0.0	0.0
seq_D147	0.0	0.0
seq_D148	0.0	0.0
seq_D149	0.0	0.0
seq_D150	0.0	0.0
seq_D151	0.0	0.0
seq_D152	0.0	0.0
seq_D153	0.0	0.0
seq_D156	0.0	0.0
seq_D157	0.0	0.0
seq_D158	0.0	0.0
seq_D159	0.0	0.0
seq_D161	0.0	0.0
seq_D162	0.0	0.0
seq_D163	0.0	0.0
seq_D167	0.0	0.0
seq_D168	0.0	0.0
seq_D169	0.0	0.0
seq_D171	0.0	0.0
seq_D172	0.0	0.0
seq_D173	0.0	0.0
seq_D174	0.0	0.0
seq_D175	0.0	0.0
seq_D176	0.0	0.0
seq_D179	0.0	0.0
seq_D181	0.0	0.0
seq_D182	0.0	0.0
seq_D184	0.0	0.0
seq_D186	0.0	0.0
seq_D187	0.0	0.0
seq_D195	0.0	0.0
seq_D197	0.0	0.0
seq_D198	0.0	0.0
seq_D202	0.0	0.0
seq_D203	0.0	0.0
seq_D206	0.0	0.0
seq_D211	0.0	0.0
seq_D212	0.0	0.0
seq_D213	0.0	0.0
seq_D214	0.0	0.0
seq_D215	0.0	0.0
seq_D217	0.0	0.0
seq_D218	0.0	0.0
seq_D219	0.0	0.0
seq_D221	0.0	0.0
seq_D225	0.0	0.0
seq_D228	0.0	0.0
seq_D229	0.0	0.0
seq_D230	0.0	0.0
seq_E000	0.0	0.0
seq_E002	0.0	0.0
seq_E003	0.0	0.0
seq_E004	0.0	0.0
seq_E005	0.0	0.0
seq_E006	0.0	0.0
seq_E009	0.0	0.0
seq_E011	0.0	0.0
seq_E013	0.0	0.0
seq_E014	0.0	0.0
seq_E015	0.0	0.0
seq_E016	0.0	0.0
seq_E017	0.0	0.0
seq_E018	0.0	0.0
seq_E020	0.0	0.0
seq_E022	0.0	0.0
seq_E024	0.0	0.0
seq_E027	0.0	0.0
seq_E028	0.0	0.0
seq_E029	0.0	0.0
seq_E030	0.0	0.0
seq_E031	0.0	0.0
seq_E034	0.0	0.0
seq_E035	0.0	0.0
seq_E036	0.0	0.0
seq_E037	0.0	0.0
seq_E038	0.0	0.0
seq_E041	0.0	0.0
seq_E042	0.0	0.0
seq_E046	0.0	0.0
seq_E047	0.0	0.0
seq_E051	0.0	0.0
seq_E055	0.0	0.0
seq_E058	0.0	0.0
seq_E059	0.0	0.0
seq_E063	0.0	0.0
seq_E064	0.0	0.0
seq_E069	0.0	0.0
seq_E070	0.0	0.0
seq_E071	0.0	0.0
seq_E072	0.0	0.0
seq_E074	0.0	0.0
seq_E075	0.0	0.0
seq_E076	0.0	0.0
seq_E077	0.0	0.0
seq_E078	0.0	0.0
seq_E080	0.0	0.0
seq_E081	0.0	0.0
seq_E083	0.0	0.0
seq_E084	0.0	0.0
seq_E085	0.0	0.0
seq_E086	0.0	0.0
seq_E087	0.0	0.0
seq_E088	0.0	0.0
seq_E090	0.0	0.0
seq_E091	0.0	0.0
seq_E092	0.0	0.0
seq_E095	0.0	0.0
seq_E099	0.0	0.0
seq_E101	0.0	0.0
seq_E102	0.0	0.0
seq_E105	0.0	0.0
seq_E106	0.0	0.0
seq_E107	0.0	0.0
seq_E108	0.0	0.0
seq_E109	0.0	0.0
seq_E110	0.0	0.0
seq_E112	0.0	0.0
seq_E113	0.0	0.0
seq_E114	0.0	0.0
seq_E115	0.0	0.0
seq_E116	0.0	0.0
seq_E118	0.0	0.0
seq_E119	0.0	0.0
seq_E120	0.0	0.0
seq_E121	0.0	0.0
seq_E123	0.0	0.0
seq_E124	0.0	0.0
seq_E125	0.0	0.0
seq_E129	0.0	0.0
seq_E131	0.0	0.0
seq_E132	0.0	0.0
seq_E138	0.0	0.0
seq_E143	0.0	0.0
seq_E144	0.0	0.0
seq_E145	0.0	0.0
seq_E146	0.0	0.0
seq_E147	0.0	0.0
seq_E150	0.0	0.0
seq_E151	0.0	0.0
seq_E153	0.0	0.0
seq_E154	0.0	0.0
seq_E156	0.0	0.0
seq_E158	0.0	0.0
seq_E159	0.0	0.0
seq_E163	0.0	0.0
seq_E165	0.0	0.0
seq_E166	0.0	0.0
seq_E167	0.0	0.0
seq_E168	0.0	0.0
seq_E169	0.0	0.0
seq_E170	0.0	0.0
seq_E172	0.0	0.0
seq_E173	0.0	0.0
seq_E174	0.0	0.0
seq_E175	0.0	0.0
seq_E176	0.0	0.0
seq_E178	0.0	0.0
seq_E179	0.0	0.0
seq_E180	0.0	0.0
seq_E181	0.0	0.0
seq_E183	0.0	0.0
seq_E184	0.0	0.0
seq_E186	0.0	0.0
seq_E194	0.0	0.0
seq_E197	0.0	0.0
seq_E200	0.0	0.0
seq_E206	0.0	0.0
seq_E207	0.0	0.0
seq_E208	0.0	0.0
seq_E210	0.0	0.0
seq_E212	0.0	0.0
seq_E214	0.0	0.0
seq_E215	0.0	0.0
seq_E216	0.0	0.0
seq_E217	0.0	0.0
seq_E218	0.0	0.0
seq_E220	0.0	0.0
seq_E221	0.0	0.0
seq_E223	0.0	0.0
seq_E225	0.0	0.0
seq_E229	0.0	0.0
seq_E230	0.0	0.0
seq_F000	0.0	0.0
seq_F001	0.0	0.0
seq_F002	0.0	0.0
seq_F003	0.0	0.0
seq_F004	0.0	0.0
seq_F005	0.0	0.0
seq_F007	0.0	0.0
seq_F008	0.0	0.0
seq_F009	0.0	0.0
seq_F010	0.0	0.0
seq_F012	0.0	0.0
seq_F013	0.0	0.0
seq_F014	0.0	0.0
seq_F018	0.0	0.0
seq_F019	0.0	0.0
seq_F020	0.0	0.0
seq_F021	0.0	0.0
seq_F023	0.0	0.0
seq_F024	0.0	0.0
seq_F025	0.0	0.0
seq_F026	0.0	0.0
seq_F029	0.0	0.0
seq_F034	0.0	0.0
seq_F036	0.0	0.0
seq_F037	0.0	0.0
seq_F039	0.0	0.0
seq_F040	0.0	0.0
seq_F041	0.0	0.0
seq_F047	0.0	0.0
seq_F048	0.0	0.0
seq_F052	0.0	0.0
seq_F053	0.0	0.0
seq_F054	0.0	0.0
seq_F057	0.0	0.0
seq_F058	0.0	0.0
seq_F062	0.0	0.0
seq_F064	0.0	0.0
seq_F065	0.0	0.0
seq_F066	0.0	0.0
seq_F070	0.0	0.0
seq_F071	0.0	0.0
seq_F072	0.0	0.0
seq_F073	0.0	0.0
seq_F074	0.0	0.0
seq_F077	0.0	0.0
seq_F079	0.0	0.0
seq_F080	0.0	0.0
seq_F081	0.0	0.0
seq_F082	0.0	0.0
seq_F086	0.0	0.0
seq_F087	0.0	0.0
seq_F088	0.0	0.0
seq_F090	0.0	0.0
seq_F091	0.0	0.0
seq_F093	0.0	0.0
seq_F095	0.0	0.0
seq_F100	0.0	0.0
seq_F101	0.0	0.0
seq_F102	0.0	0.0
seq_F104	0.0	0.0
seq_F105	0.0	0.0
seq_F106	0.0	0.0
seq_F107	0.0	0.0
seq_F108	0.0	0.0
seq_F109	0.0	0.0
seq_F112	0.0	0.0
seq_F113	0.0	0.0
seq_F114	0.0	0.0
seq_F115	0.0	0.0
seq_F117	0.0	0.0
seq_F118	0.0	0.0
seq_F119	0.0	0.0
seq_F120	0.0	0.0
seq_F121	0.0	0.0
seq_F123	0.0	0.0
seq_F125	0.0	0.0
seq_F126	0.0	0.0
seq_F129	0.0	0.0
seq_F130	0.0	0.0
seq_F133	0.0	0.0
seq_F134	0.0	0.0
seq_F136	0.0	0.0
seq_F139	0.0	0.0
seq_F140	0.0	0.0
seq_F145	0.0	0.0
seq_F147	0.0	0.0
seq_F148	0.0	0.0
seq_F149	0.0	0.0
seq_F150	0.0	0.0
seq_F152	0.0	0.0
seq_F153	0.0	0.0
seq_F154	0.0	0.0
seq_F155	0.0	0.0
seq_F157	0.0	0.0
seq_F162	0.0	0.0
seq_F164	0.0	0.0
seq_F168	0.0	0.0
seq_F169	0.0	0.0
seq_F170	0.0	0.0
seq_F171	0.0	0.0
seq_F172	0.0	0.0
seq_F173	0.0	0.0
seq_F174	0.0	0.0
seq_F176	0.0	0.0
seq_F178	0.0	0.0
seq_F179	0.0	0.0
seq_F180	0.0	0.0
seq_F182	0.0	0.0
seq_F184	0.0	0.0
seq_F185	0.0	0.0
seq_F186	0.0	0.0
seq_F193	0.0	0.0
seq_F198	0.0	0.0
seq_F199	0.0	0.0
seq_F200	0.0	0.0
seq_F204	0.0	0.0
seq_F205	0.0	0.0
seq_F209	0.0	0.0
seq_F210	0.0	0.0
seq_F211	0.0	0.0
seq_F212	0.0	0.0
seq_F213	0.0	0.0
seq_F216	0.0	0.0
seq_F217	0.0	0.0
seq_F218	0.0	0.0
seq_F219	0.0	0.0
seq_F220	0.0	0.0
seq_F221	0.0	0.0
seq_F222	0.0	0.0
seq_F223	0.0	0.0
seq_F224	0.0	0.0
seq_F228	0.0	0.0
seq_F230	0.0	0.0
seq_G000	0.0	0.0
seq_G001	0.0	0.0
seq_G002	0.0	0.0
seq_G004	0.0	0.0
seq_G006	0.0	0.0
seq_G007	0.0	0.0
seq_G008	0.0	0.0
seq_G009	0.0	0.0
seq_G010	0.0	0.0
seq_G011	0.0	0.0
seq_G012	0.0	0.0
seq_G013	0.0	0.0
seq_G014	0.0	0.0
seq_G016	0.0	0.0
seq_G017	0.0	0.0
seq_G019	0.0	0.0
seq_G022	0.0	0.0
seq_G027	0.0	0.0
seq_G028	0.0	0.0
seq_G029	0.0	0.0
seq_G031	0.0	0.0
seq_G032	0.0	0.0
seq_G033	0.0	0.0
seq_G035	0.0	0.0
seq_G037	0.0	0.0
seq_G038	0.0	0.0
seq_G039	0.0	0.0
seq_G041	0.0	0.0
seq_G042	0.0	0.0
seq_G051	0.0	0.0
seq_G055	0.0	0.0
seq_G057	0.0	0.0
seq_G059	0.0	0.0
seq_G060	0.0	0.0
seq_G063	0.0	0.0
seq_G066	0.0	0.0
seq_G069	0.0	0.0
seq_G071	0.0	0.0
seq_G072	0.0	0.0
seq_G074	0.0	0.0
seq_G075	0.0	0.0
seq_G080	0.0	0.0
seq_G081	0.0	0.0
seq_G085	0.0	0.0
seq_G086	0.0	0.0
seq_G088	0.0	0.0
seq_G091	0.0	0.0
seq_G092	0.0	0.0
seq_G097	0.0	0.0
seq_G099	0.0	0.0
seq_G100	0.0	0.0
seq_G101	0.0	0.0
seq_G102	0.0	0.0
seq_G104	0.0	0.0
seq_G105	0.0	0.0
seq_G106	0.0	0.0
seq_G107	0.0	0.0
seq_G108	0.0	0.0
seq_G110	0.0	0.0
seq_G113	0.0	0.0
seq_G114	0.0	0.0
seq_G115	0.0	0.0
seq_G116	0.0	0.0
seq_G117	0.0	0.0
seq_G118	0.0	0.0
seq_G119	0.0	0.0
seq_G121	0.0	0.0
seq_G125	0.0	0.0
seq_G126	0.0	0.0
seq_G128	0.0	0.0
seq_G129	0.0	0.0
seq_G131	0.0	0.0
seq_G133	0.0	0.0
