enzyme	gtpred_enzyme	length	identity	gaps	score
At_71C1	UGT89B1	466	28.8	5.6	363.0
At_71C1	UGT89C1	265	32.5	6.4	304.0
At_71C1	VVGT1	301	30.9	6.6	296.0
At_71C1	UGT76C4	313	29.4	2.9	309.0
At_71C2	UGT76E5	262	32.1	5.7	282.0
At_71C2	UGT76E4	378	27.2	3.4	326.0
At_71C2	UGT76E1	336	31.0	4.8	354.0
At_71C2	UGT76E2	337	30.0	5.3	342.0
At_71C2	UGT76E12	299	31.1	3.3	352.0
At_71C2	UGT76E11	352	30.1	4.8	347.0
At_71C2	UGT85A5	302	31.5	6.0	298.0
At_71C2	UGT85A4	359	30.4	6.1	308.0
At_71C2	UGT84A3	361	28.5	5.5	299.0
At_71C2	UGT84A4	359	27.9	6.4	302.0
At_71C2	UGT84A2	389	25.7	4.6	298.0
At_71C2	UGT84A1	386	28.5	4.4	380.0
At_71C2	UGT84B1	350	31.1	6.3	354.0
At_71C2	UGT84B2	337	31.8	5.6	368.0
At_71C2	UGT75B1	295	32.5	6.4	330.0
At_71C2	UGT75D1	345	28.7	6.1	307.0
At_71C2	UGT74F1	292	31.8	7.9	305.0
At_71C2	UGT74F2	286	32.5	8.7	305.0
At_71C2	UGT74B1	203	36.0	6.4	277.0
At_71C2	UGT78D2	302	31.5	6.0	319.0
At_71C2	UGT78D1	293	30.7	6.5	277.0
At_71C2	UGT71C1	474	79.7	0.2	1981.0
At_71C2	UGT71C2	474	100.0	0.0	2442.0
At_71C2	UGT71C3	471	69.4	1.1	1714.0
At_71C2	UGT71C4	471	61.8	1.7	1489.0
At_71C2	UGT71C5	473	55.8	2.5	1268.0
At_71C2	UGT71B8	481	40.7	6.7	723.0
At_71C2	UGT71B6	480	41.0	7.1	748.0
At_71C2	UGT71B5	478	41.0	5.2	769.0
At_71C2	UGT71B1	483	41.0	7.5	699.0
At_71C2	UGT88A1	468	34.8	5.1	609.0
At_71C2	UGT72E2	388	34.5	8.8	417.0
At_71C2	UGT72E3	388	33.2	9.0	389.0
At_71C2	UGT72E1	397	35.5	9.3	442.0
At_71C2	UGT72D1	457	34.4	8.5	459.0
At_71C2	UGT72C1	375	33.3	7.7	379.0
At_71C2	UGT72B3	397	37.8	6.3	511.0
At_71C2	UGT72B1	400	35.0	5.5	487.0
At_71C2	UGT73C3	476	31.1	7.6	419.0
At_71C2	UGT73C4	345	34.2	7.8	393.0
At_71C2	UGT73C5	391	31.7	7.2	412.0
At_71C2	UGT73C6	474	29.1	6.8	392.0
At_71C2	UGT73C1	358	33.5	8.4	392.0
At_71C2	UGT73C7	482	29.9	6.2	389.0
At_71C2	UGT73B2	482	28.2	5.0	399.0
At_71C2	UGT73B3	481	28.3	4.8	397.0
At_71C2	UGT73B1	258	36.8	3.5	411.0
At_71C2	UGT73B4	362	34.0	5.0	426.0
At_71C2	UGT73B5	483	29.6	4.6	429.0
At_71C2	UGT89B1	251	35.5	3.6	382.0
At_71C2	UGT89C1	302	31.8	6.0	327.0
At_71C2	VVGT1	293	31.4	6.5	310.0
At_71C2	UGT76C4	369	27.4	3.5	310.0
At_71C4	UGT76E5	259	32.8	5.4	263.0
At_71C4	UGT76E4	388	27.6	5.2	316.0
At_71C4	UGT76E1	336	29.5	4.5	321.0
At_71C4	UGT76E2	276	31.9	3.3	322.0
At_71C4	UGT76E12	355	27.6	3.9	344.0
At_71C4	UGT76E11	354	29.4	4.8	327.0
At_71C4	UGT85A5	477	28.3	7.5	283.0
At_71C4	UGT85A4	420	28.3	8.1	300.0
At_71C4	UGT84A3	349	28.4	5.4	298.0
At_71C4	UGT84A4	349	27.5	4.6	295.0
At_71C4	UGT84A2	290	30.0	5.9	287.0
At_71C4	UGT84A1	343	28.9	3.8	342.0
At_71C4	UGT84B1	302	35.8	6.6	354.0
At_71C4	UGT84B2	298	36.6	5.7	368.0
At_71C4	UGT75B1	296	33.4	6.8	356.0
At_71C4	UGT75D1	351	29.6	7.4	275.0
At_71C4	UGT74F1	303	31.0	7.6	317.0
At_71C4	UGT74F2	302	33.4	7.0	337.0
At_71C4	UGT74B1	200	37.5	5.5	286.0
At_71C4	UGT78D2	348	27.0	6.3	253.0
At_71C4	UGT78D1	310	30.3	7.1	244.0
At_71C4	UGT71C1	480	58.8	2.1	1458.0
At_71C4	UGT71C2	471	61.8	1.7	1489.0
At_71C4	UGT71C3	473	64.3	0.6	1612.0
At_71C4	UGT71C4	479	100.0	0.0	2495.0
At_71C4	UGT71C5	479	54.5	1.3	1376.0
At_71C4	UGT71B8	483	42.2	6.2	786.0
At_71C4	UGT71B6	484	42.4	6.2	820.0
At_71C4	UGT71B5	486	42.2	6.0	804.0
At_71C4	UGT71B1	490	40.2	7.8	724.0
At_71C4	UGT88A1	468	31.4	5.6	561.0
At_71C4	UGT72E2	451	31.7	7.8	418.0
At_71C4	UGT72E3	467	33.2	8.8	424.0
At_71C4	UGT72E1	480	31.7	9.0	427.0
At_71C4	UGT72D1	456	33.1	6.8	486.0
At_71C4	UGT72C1	458	31.4	8.1	368.0
At_71C4	UGT72B3	469	36.2	8.5	538.0
At_71C4	UGT72B1	479	36.1	8.6	556.0
At_71C4	UGT73C3	355	33.2	5.9	411.0
At_71C4	UGT73C4	305	34.1	5.6	385.0
At_71C4	UGT73C5	369	30.1	6.0	380.0
At_71C4	UGT73C6	355	29.3	5.9	368.0
At_71C4	UGT73C1	354	31.4	5.6	401.0
At_71C4	UGT73C7	321	36.4	5.3	417.0
At_71C4	UGT73B2	349	31.8	5.4	391.0
At_71C4	UGT73B3	271	36.2	4.8	409.0
At_71C4	UGT73B1	262	38.9	3.8	454.0
At_71C4	UGT73B4	261	39.8	3.4	450.0
At_71C4	UGT73B5	259	39.0	3.1	435.0
At_71C4	UGT89B1	242	36.8	2.5	391.0
At_71C4	UGT89C1	282	30.1	4.6	320.0
At_71C4	VVGT1	443	26.9	7.9	287.0
At_71C4	UGT76C4	247	32.8	6.5	278.0
At_71D1	UGT76E5	408	26.5	4.9	301.0
At_71D1	UGT76E4	334	28.1	4.8	347.0
At_71D1	UGT76E1	334	29.9	5.7	354.0
At_71D1	UGT76E2	334	30.8	5.7	360.0
At_71D1	UGT76E12	367	28.1	6.0	346.0
At_71D1	UGT76E11	367	29.7	6.3	346.0
At_71D1	UGT85A5	425	28.5	6.6	311.0
At_71D1	UGT85A4	414	27.5	7.7	284.0
At_71D1	UGT84A3	351	26.2	4.3	278.0
At_71D1	UGT84A4	360	26.1	3.9	295.0
At_71D1	UGT84A2	346	26.3	3.8	322.0
At_71D1	UGT84A1	346	27.5	5.2	302.0
At_71D1	UGT84B1	345	27.0	4.3	314.0
At_71D1	UGT84B2	252	31.3	4.0	301.0
At_71D1	UGT75B1	299	31.1	8.4	283.0
At_71D1	UGT75D1	467	23.6	5.4	253.0
At_71D1	UGT74F1	201	36.3	5.0	318.0
At_71D1	UGT74F2	196	35.7	4.6	323.0
At_71D1	UGT74B1	197	33.0	3.0	292.0
At_71D1	UGT78D2	278	29.9	4.7	315.0
At_71D1	UGT78D1	276	29.0	4.0	299.0
At_71D1	UGT71C1	476	47.7	3.6	1097.0
At_71D1	UGT71C2	471	49.5	3.6	1113.0
At_71D1	UGT71C3	470	49.6	2.6	1159.0
At_71D1	UGT71C4	472	47.0	2.3	1133.0
At_71D1	UGT71C5	478	48.7	3.1	1130.0
At_71D1	UGT71B8	486	38.9	7.2	729.0
At_71D1	UGT71B6	478	38.7	6.5	730.0
At_71D1	UGT71B5	483	40.0	7.0	717.0
At_71D1	UGT71B1	489	39.7	8.8	671.0
At_71D1	UGT88A1	462	32.9	5.8	591.0
At_71D1	UGT72E2	379	32.7	7.9	369.0
At_71D1	UGT72E3	464	28.9	9.5	345.0
At_71D1	UGT72E1	470	28.3	7.9	391.0
At_71D1	UGT72D1	467	30.2	6.9	470.0
At_71D1	UGT72C1	459	30.5	9.6	366.0
At_71D1	UGT72B3	469	30.5	8.3	430.0
At_71D1	UGT72B1	467	32.1	8.1	462.0
At_71D1	UGT73C3	487	27.7	7.2	412.0
At_71D1	UGT73C4	486	26.7	7.2	398.0
At_71D1	UGT73C5	486	27.6	7.0	418.0
At_71D1	UGT73C6	485	26.8	6.8	381.0
At_71D1	UGT73C1	487	26.9	6.6	411.0
At_71D1	UGT73C7	486	26.3	7.2	368.0
At_71D1	UGT73B2	475	26.7	4.4	400.0
At_71D1	UGT73B3	476	27.5	5.0	407.0
At_71D1	UGT73B1	263	35.4	4.9	409.0
At_71D1	UGT73B4	371	32.9	5.1	410.0
At_71D1	UGT73B5	480	27.3	4.4	414.0
At_71D1	UGT89B1	467	26.1	4.3	391.0
At_71D1	UGT89C1	293	29.4	6.5	296.0
At_71D1	VVGT1	300	29.0	4.3	328.0
At_71D1	UGT76C4	412	28.2	5.8	353.0
At_88A1	UGT76E5	334	30.8	5.7	346.0
At_88A1	UGT76E4	410	29.3	3.9	401.0
At_88A1	UGT76E1	412	28.2	3.2	419.0
At_88A1	UGT76E2	459	29.2	4.6	410.0
At_88A1	UGT76E12	350	31.1	3.1	410.0
At_88A1	UGT76E11	350	32.3	3.4	414.0
At_88A1	UGT85A5	327	34.9	8.9	364.0
At_88A1	UGT85A4	472	30.3	7.8	389.0
At_88A1	UGT84A3	460	29.1	6.5	371.0
At_88A1	UGT84A4	350	33.7	6.9	378.0
At_88A1	UGT84A2	363	32.5	6.1	374.0
At_88A1	UGT84A1	349	32.1	4.3	406.0
At_88A1	UGT84B1	318	34.6	7.2	372.0
At_88A1	UGT84B2	323	33.7	6.8	384.0
At_88A1	UGT75B1	286	32.9	4.2	362.0
At_88A1	UGT75D1	350	28.6	6.3	320.0
At_88A1	UGT74F1	345	31.6	6.7	316.0
At_88A1	UGT74F2	353	30.6	6.5	312.0
At_88A1	UGT74B1	204	36.3	7.8	293.0
At_88A1	UGT78D2	355	30.4	7.0	327.0
At_88A1	UGT78D1	293	32.4	5.1	325.0
At_88A1	UGT71C1	469	33.7	5.5	581.0
At_88A1	UGT71C2	468	34.8	5.1	609.0
At_88A1	UGT71C3	472	34.7	5.7	600.0
At_88A1	UGT71C4	468	31.4	5.6	561.0
At_88A1	UGT71C5	410	34.4	5.1	569.0
At_88A1	UGT71B8	416	34.9	4.8	613.0
At_88A1	UGT71B6	471	32.7	5.9	565.0
At_88A1	UGT71B5	460	33.9	4.6	591.0
At_88A1	UGT71B1	473	33.8	6.8	547.0
At_88A1	UGT88A1	462	100.0	0.0	2397.0
At_88A1	UGT72E2	463	32.6	6.5	525.0
At_88A1	UGT72E3	464	32.1	6.9	509.0
At_88A1	UGT72E1	468	32.1	6.0	554.0
At_88A1	UGT72D1	434	33.2	4.1	580.0
At_88A1	UGT72C1	452	31.6	5.1	497.0
At_88A1	UGT72B3	468	38.7	5.1	703.0
At_88A1	UGT72B1	466	35.4	4.1	688.0
At_88A1	UGT73C3	479	28.6	7.5	393.0
At_88A1	UGT73C4	478	28.0	7.1	394.0
At_88A1	UGT73C5	479	29.0	7.3	392.0
At_88A1	UGT73C6	481	29.7	8.3	372.0
At_88A1	UGT73C1	270	37.4	9.3	368.0
At_88A1	UGT73C7	480	29.0	7.9	363.0
At_88A1	UGT73B2	363	35.5	7.7	430.0
At_88A1	UGT73B3	418	34.0	6.9	447.0
At_88A1	UGT73B1	310	36.1	7.7	439.0
At_88A1	UGT73B4	368	34.5	5.7	458.0
At_88A1	UGT73B5	385	34.3	6.0	459.0
At_88A1	UGT89B1	460	28.0	3.9	443.0
At_88A1	UGT89C1	258	34.5	3.1	403.0
At_88A1	VVGT1	358	29.3	6.7	314.0
At_88A1	UGT76C4	283	32.9	3.9	381.0
Bm_88D9	UGT76E5	425	26.4	7.8	280.0
Bm_88D9	UGT76E4	413	27.1	5.1	342.0
Bm_88D9	UGT76E1	297	34.7	6.1	362.0
Bm_88D9	UGT76E2	295	33.9	6.1	352.0
Bm_88D9	UGT76E12	458	27.3	6.1	367.0
Bm_88D9	UGT76E11	299	32.4	5.4	356.0
Bm_88D9	UGT85A5	355	32.1	6.5	352.0
Bm_88D9	UGT85A4	418	32.5	8.4	363.0
Bm_88D9	UGT84A3	356	27.5	7.9	256.0
Bm_88D9	UGT84A4	372	25.5	6.5	253.0
Bm_88D9	UGT84A2	354	29.7	6.2	319.0
Bm_88D9	UGT84A1	347	30.5	6.1	348.0
Bm_88D9	UGT84B1	333	29.7	6.0	318.0
Bm_88D9	UGT84B2	344	28.2	5.2	307.0
Bm_88D9	UGT75B1	257	30.0	2.7	287.0
Bm_88D9	UGT75D1	226	30.1	5.3	224.0
Bm_88D9	UGT74F1	270	30.0	7.8	270.0
Bm_88D9	UGT74F2	270	30.0	7.8	276.0
Bm_88D9	UGT74B1	206	37.4	5.8	290.0
Bm_88D9	UGT78D2	377	30.2	7.2	289.0
Bm_88D9	UGT78D1	447	28.0	6.7	305.0
Bm_88D9	UGT71C1	422	36.5	7.8	505.0
Bm_88D9	UGT71C2	364	35.4	4.7	515.0
Bm_88D9	UGT71C3	426	36.2	6.6	528.0
Bm_88D9	UGT71C4	430	35.6	6.7	521.0
Bm_88D9	UGT71C5	367	34.6	5.4	476.0
Bm_88D9	UGT71B8	378	39.4	8.2	499.0
Bm_88D9	UGT71B6	471	32.5	5.1	471.0
Bm_88D9	UGT71B5	370	36.5	6.2	499.0
Bm_88D9	UGT71B1	460	31.7	5.4	503.0
Bm_88D9	UGT88A1	466	44.4	5.4	884.0
Bm_88D9	UGT72E2	442	33.0	4.5	529.0
Bm_88D9	UGT72E3	444	32.4	4.5	537.0
Bm_88D9	UGT72E1	457	31.9	4.6	535.0
Bm_88D9	UGT72D1	412	31.1	3.6	528.0
Bm_88D9	UGT72C1	397	33.0	5.3	466.0
Bm_88D9	UGT72B3	458	34.9	4.1	623.0
Bm_88D9	UGT72B1	458	38.2	4.8	661.0
Bm_88D9	UGT73C3	429	30.1	7.0	343.0
Bm_88D9	UGT73C4	428	27.8	6.5	332.0
Bm_88D9	UGT73C5	385	32.2	6.8	355.0
Bm_88D9	UGT73C6	350	30.6	5.7	326.0
Bm_88D9	UGT73C1	276	34.8	7.6	304.0
Bm_88D9	UGT73C7	327	29.7	4.6	328.0
Bm_88D9	UGT73B2	396	34.1	6.3	381.0
Bm_88D9	UGT73B3	390	34.6	6.4	369.0
Bm_88D9	UGT73B1	313	31.9	3.5	388.0
Bm_88D9	UGT73B4	393	30.5	4.1	423.0
Bm_88D9	UGT73B5	392	29.8	4.3	390.0
Bm_88D9	UGT89B1	342	31.9	4.4	350.0
Bm_88D9	UGT89C1	290	29.7	3.4	312.0
Bm_88D9	VVGT1	355	29.6	7.0	264.0
Bm_88D9	UGT76C4	208	35.1	4.3	291.0
Ct_71E5	UGT76E5	269	30.9	10.4	210.0
Ct_71E5	UGT76E4	435	25.7	7.4	257.0
Ct_71E5	UGT76E1	437	26.3	7.6	271.0
Ct_71E5	UGT76E2	441	24.7	6.1	278.0
Ct_71E5	UGT76E12	472	26.1	8.1	280.0
Ct_71E5	UGT76E11	471	28.0	8.1	293.0
Ct_71E5	UGT85A5	426	25.6	3.5	268.0
Ct_71E5	UGT85A4	412	27.4	5.6	274.0
Ct_71E5	UGT84A3	489	26.4	8.8	272.0
Ct_71E5	UGT84A4	284	32.0	10.9	249.0
Ct_71E5	UGT84A2	282	33.7	10.6	269.0
Ct_71E5	UGT84A1	348	29.0	5.5	309.0
Ct_71E5	UGT84B1	283	37.5	9.9	306.0
Ct_71E5	UGT84B2	278	37.4	8.3	338.0
Ct_71E5	UGT75B1	273	35.2	6.6	343.0
Ct_71E5	UGT75D1	480	27.7	5.4	395.0
Ct_71E5	UGT74F1	427	26.5	7.3	257.0
Ct_71E5	UGT74F2	370	31.9	10.5	244.0
Ct_71E5	UGT74B1	145	40.7	7.6	231.0
Ct_71E5	UGT78D2	329	28.9	7.9	227.0
Ct_71E5	UGT78D1	334	26.9	6.6	218.0
Ct_71E5	UGT71C1	482	41.5	7.1	783.0
Ct_71E5	UGT71C2	482	43.4	7.3	843.0
Ct_71E5	UGT71C3	485	42.5	7.0	818.0
Ct_71E5	UGT71C4	487	43.1	6.8	867.0
Ct_71E5	UGT71C5	490	41.0	5.9	843.0
Ct_71E5	UGT71B8	478	45.6	2.3	998.0
Ct_71E5	UGT71B6	472	46.6	2.8	1013.0
Ct_71E5	UGT71B5	475	48.2	2.5	1061.0
Ct_71E5	UGT71B1	476	46.6	3.6	1024.0
