cid	raw	title
12310492	Hinokiol	Hinokiol
12426239	Eucamalol	Eucamalol
14427423	Noricaritin	Noricaritin
23581946	Ingenol-3-Angelate	Ingenol 3-angelate
25056407	Corylifol A	Corylifol A
49852346	dTDPRha	Dtdp-rhamnose
49852436	UDPRha	UDP-rhamnose
53377390	Pseudolaric acid B	Pseudolaric acid-B
122707150	dTDPXyl	Dtdp-4-dehydro-alpha-D-xylose
135398625	GDPGlc	GDP-glucose
135398627	GDPMan	Guanosine diphosphate mannose
135402013	GDPFuc	Guanosine diphosphate fucose
135403798	Theaflavin	Theaflavin
