Protein	Species	Acceptor	Reactive
MtUGT78G1	Medicago truncatula	3,4-dihyroxy cinnamic acid	yes
MtUGT78G1	Medicago truncatula	4-hydroxy 3-methoxy cinnamic acid	no
MtUGT78G1	Medicago truncatula	2-hydroxy cinnamic acid	no
MtUGT78G1	Medicago truncatula	3-hydroxy cinnamic acid	no
MtUGT78G1	Medicago truncatula	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
MtUGT78G1	Medicago truncatula	6,7-dihydroxy coumarin (Esculetin)	yes
MtUGT78G1	Medicago truncatula	Trans-dihydroquercetin (DHQ)	yes
MtUGT78G1	Medicago truncatula	novobiocin	no
MtUGT78G1	Medicago truncatula	Catechin	no
MtUGT78G1	Medicago truncatula	Genistein	yes
MtUGT78G1	Medicago truncatula	Olomoucine	no
MtUGT78G1	Medicago truncatula	spectinomycin	no
MtUGT78G1	Medicago truncatula	CHAPS	no
MtUGT78G1	Medicago truncatula	a-ecdysone	no
MtUGT78G1	Medicago truncatula	solanidine	no
MtUGT78G1	Medicago truncatula	solasodine	no
MtUGT78G1	Medicago truncatula	b-sitosterol	no
OleD	Streptomycese antibioticus	Oleandomycin	yes
OleD	Streptomycese antibioticus	baicalein	yes
OleD	Streptomycese antibioticus	umbelliferone	yes
OleD	Streptomycese antibioticus	4-methylumbelliferone	yes
OleD	Streptomycese antibioticus	sinapic acid	yes
OleD	Streptomycese antibioticus	4-hydroxybenzoic acid	yes
OleD	Streptomycese antibioticus	a-cyano-4-hydroxy-cinnamic acid	yes
OleD	Streptomycese antibioticus	3,4-dichloroaniline	yes
OleD	Streptomycese antibioticus	3,4-dihydroxylbenzoic acid	yes
OleD	Streptomycese antibioticus	2,5-dihydroxylbenzoic acid	yes
OleD	Streptomycese antibioticus	D-glycerate	yes
OleD	Streptomycese antibioticus	GlcNAc	no
OleD	Streptomycese antibioticus	indole 3-acetate	no
OleD	Streptomycese antibioticus	gibberellin A3	no
OleD	Streptomycese antibioticus	gibberellin A4	no
OleD	Streptomycese antibioticus	(dl)-jasmonic acid	no
OleD	Streptomycese antibioticus	(dl)-cis,trans-abscissic acid	no
OleD	Streptomycese antibioticus	kinetin	no
OleD	Streptomycese antibioticus	trans-zeatin	no
OleD	Streptomycese antibioticus	luteolin	yes
OleD	Streptomycese antibioticus	quercetin	yes
OleD	Streptomycese antibioticus	fisetin	yes
OleD	Streptomycese antibioticus	kaempferol	yes
OleD	Streptomycese antibioticus	cinnamic acid	no
OleD	Streptomycese antibioticus	4-hydroxycinnamic acid	yes
OleD	Streptomycese antibioticus	3.4-hydroxycinnamic acid	no
OleD	Streptomycese antibioticus	4-hydroxy-3-methoxy cinnamic acid	no
OleD	Streptomycese antibioticus	2-hydroxy cinnamic acid	no
OleD	Streptomycese antibioticus	3-hydroxycinnamic acid	no
OleD	Streptomycese antibioticus	7-hydroxy-6-methoxy-coumarin (scopoletin)	yes
OleD	Streptomycese antibioticus	esculetin (6,7-dihydroxycoumarin)	yes
OleD	Streptomycese antibioticus	threonine	no
OleD	Streptomycese antibioticus	glucose	no
OleD	Streptomycese antibioticus	dihydrojasmonic acid	no
OleD	Streptomycese antibioticus	Serine-Phenylalanine	no
OleD	Streptomycese antibioticus	Serine-Leucine	no
OleD	Streptomycese antibioticus	Boc-Cys-Thr-Ome	no
OleD	Streptomycese antibioticus	1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	yes
OleD	Streptomycese antibioticus	1-Thio-S-(16-hexadecanoic acid)-N-acetyl-D-glucosamine	no
OleD	Streptomycese antibioticus	1-Thio-S-cyanomethyl-N-acetyl-D-lactosamine	no
OleD	Streptomycese antibioticus	MUGlcNAc	no
OleD	Streptomycese antibioticus	Trans-dihydroquercetin	no
OleD	Streptomycese antibioticus	Cyanidin chloride	no
OleD	Streptomycese antibioticus	Vancomycin	no
OleD	Streptomycese antibioticus	Novobiocin	no
OleD	Streptomycese antibioticus	Coumermycin A1	no
OleD	Streptomycese antibioticus	7-hydroxycoumerin 3-carboxylic acid	yes
OleD	Streptomycese antibioticus	7-hydroxycoumerin 4-acetic acid	yes
OleD	Streptomycese antibioticus	Chloramphenicol	yes
OleD	Streptomycese antibioticus	Kanamycin	yes
OleD	Streptomycese antibioticus	Carbencillin	no
OleD	Streptomycese antibioticus	β-GlcOBn	no
OleD	Streptomycese antibioticus	a-ManOBn	yes
OleD	Streptomycese antibioticus	a-ManOPh	no
OleD	Streptomycese antibioticus	a-ManOCH2Bn	no
OleD	Streptomycese antibioticus	a-ManOPMP	no
OleD	Streptomycese antibioticus	a-ManOBn(pNO2)	no
OleD	Streptomycese antibioticus	a-ManOPhF5	no
OleD	Streptomycese antibioticus	a-ManOBnF5	no
OleD	Streptomycese antibioticus	ManSTol	no
OleD	Streptomycese antibioticus	Man (6a) Man(3a)Man(a)OPh	no
OleD	Streptomycese antibioticus	D-erythro-spingosine	no
MGS	Rhodothermus marinus	Oleandomycin	yes
MGS	Rhodothermus marinus	baicalein	yes
MGS	Rhodothermus marinus	umbelliferone	yes
MGS	Rhodothermus marinus	4-methylumbelliferone	yes
MGS	Rhodothermus marinus	sinapic acid	yes
MGS	Rhodothermus marinus	4-hydroxybenzoic acid	yes
MGS	Rhodothermus marinus	a-cyano-4-hydroxy-cinnamic acid	yes
MGS	Rhodothermus marinus	3,4-dichloroaniline	yes
MGS	Rhodothermus marinus	3,4-dihydroxylbenzoic acid	no
MGS	Rhodothermus marinus	2,5-dihydroxylbenzoic acid	no
MGS	Rhodothermus marinus	D-glycerate	yes
MGS	Rhodothermus marinus	GlcNAc	no
MGS	Rhodothermus marinus	indole 3-acetate	no
MGS	Rhodothermus marinus	gibberellin A3	no
MGS	Rhodothermus marinus	gibberellin A4	no
MGS	Rhodothermus marinus	(dl)-jasmonic acid	no
MGS	Rhodothermus marinus	(dl)-cis,trans-abscissic acid	no
MGS	Rhodothermus marinus	kinetin	no
MGS	Rhodothermus marinus	trans-zeatin	no
MGS	Rhodothermus marinus	luteolin	yes
MGS	Rhodothermus marinus	quercetin	yes
MGS	Rhodothermus marinus	fisetin	yes
MGS	Rhodothermus marinus	kaempferol	yes
MGS	Rhodothermus marinus	cinnamic acid	no
MGS	Rhodothermus marinus	4-hydroxycinnamic acid	yes
MGS	Rhodothermus marinus	3.4-hydroxycinnamic acid	no
MGS	Rhodothermus marinus	4-hydroxy-3-methoxy cinnamic acid	no
MGS	Rhodothermus marinus	2-hydroxy cinnamic acid	no
MGS	Rhodothermus marinus	3-hydroxycinnamic acid	no
MGS	Rhodothermus marinus	7-hydroxy-6-methoxy-coumarin (scopoletin)	yes
MGS	Rhodothermus marinus	esculetin (6,7-dihydroxycoumarin)	yes
MGS	Rhodothermus marinus	threonine	no
MGS	Rhodothermus marinus	glucose	no
MGS	Rhodothermus marinus	dihydrojasmonic acid	no
MGS	Rhodothermus marinus	Serine-Phenylalanine	no
MGS	Rhodothermus marinus	Serine-Leucine	no
MGS	Rhodothermus marinus	Boc-Cys-Thr-Ome	no
MGS	Rhodothermus marinus	1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	yes
MGS	Rhodothermus marinus	1-Thio-S-(16-hexadecanoic acid)-N-acetyl-D-glucosamine	no
MGS	Rhodothermus marinus	1-Thio-S-cyanomethyl-N-acetyl-D-lactosamine	no
MGS	Rhodothermus marinus	MUGlcNAc	no
MGS	Rhodothermus marinus	Trans-dihydroquercetin	no
MGS	Rhodothermus marinus	Cyanidin chloride	no
MGS	Rhodothermus marinus	Vancomycin	no
MGS	Rhodothermus marinus	Novobiocin	no
MGS	Rhodothermus marinus	Coumermycin A1	no
MGS	Rhodothermus marinus	7-hydroxycoumerin 3-carboxylic acid	yes
MGS	Rhodothermus marinus	7-hydroxycoumerin 4-acetic acid	yes
MGS	Rhodothermus marinus	Chloramphenicol	no
MGS	Rhodothermus marinus	Kanamycin	no
MGS	Rhodothermus marinus	Carbencillin	no
MGS	Rhodothermus marinus	β-GlcOBn	no
MGS	Rhodothermus marinus	a-ManOBn	yes
MGS	Rhodothermus marinus	a-ManOPh	yes
MGS	Rhodothermus marinus	a-ManOCH2Bn	no
MGS	Rhodothermus marinus	a-ManOPMP	no
MGS	Rhodothermus marinus	a-ManOBn(pNO2)	no
MGS	Rhodothermus marinus	a-ManOPhF5	no
MGS	Rhodothermus marinus	a-ManOBnF5	no
MGS	Rhodothermus marinus	ManSTol	no
MGS	Rhodothermus marinus	Man (6a) Man(3a)Man(a)OPh	no
MGS	Rhodothermus marinus	D-erythro-spingosine	no
UGT72B10	Lycium barbarum	oleanodmycin	no
UGT72B10	Lycium barbarum	Baicalein	yes
UGT72B10	Lycium barbarum	Umbelliferone	no
UGT72B10	Lycium barbarum	4-Methyl-umbelliferone	no
UGT72B10	Lycium barbarum	Sinapic acid	no
UGT72B10	Lycium barbarum	4-hydroxyl-benzoic acid	no
UGT72B10	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	no
UGT72B10	Lycium barbarum	3,4-dichloroaniline	no
UGT72B10	Lycium barbarum	3,4-dihydroxylbenzoic acid	yes
UGT72B10	Lycium barbarum	2,5-dihydroxylbenzoic acid	yes
UGT72B10	Lycium barbarum	Indole 3-acetate	no
UGT72B10	Lycium barbarum	Gibberellin A3	no
UGT72B10	Lycium barbarum	Gibberellin A4	no
UGT72B10	Lycium barbarum	(?)-Jasmonic acid	no
UGT72B10	Lycium barbarum	Kinetin	no
UGT72B10	Lycium barbarum	Zeatin	no
UGT72B10	Lycium barbarum	Luteolin	yes
UGT72B10	Lycium barbarum	Quercetin	yes
UGT72B10	Lycium barbarum	Fisetin	yes
UGT72B10	Lycium barbarum	Kaempferol	yes
UGT72B10	Lycium barbarum	Cinnamic acid	no
UGT72B10	Lycium barbarum	4-hydroxy cinnamic acid	no
UGT72B10	Lycium barbarum	3,4-dihyroxy cinnamic acid	yes
UGT72B10	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	no
UGT72B10	Lycium barbarum	2-hydroxy cinnamic acid	yes
UGT72B10	Lycium barbarum	3-hydroxy cinnamic acid	no
UGT72B10	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT72B10	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT72B10	Lycium barbarum	Trans-dihydroquercetin (DHQ)	no
UGT72B10	Lycium barbarum	novobiocin	no
UGT72B10	Lycium barbarum	Catechin	yes
UGT72B10	Lycium barbarum	Genistein	yes
UGT72B10	Lycium barbarum	Olomoucine	no
UGT72B10	Lycium barbarum	spectinomycin	no
UGT72B10	Lycium barbarum	CHAPS	no
UGT72B10	Lycium barbarum	solanidine	no
UGT72B10	Lycium barbarum	solasodine	no
UGT72B10	Lycium barbarum	b-sitosterol	no
UGT74P1	Lycium barbarum	oleanodmycin	no
UGT74P1	Lycium barbarum	Baicalein	no
UGT74P1	Lycium barbarum	Umbelliferone	no
UGT74P1	Lycium barbarum	4-Methyl-umbelliferone	no
UGT74P1	Lycium barbarum	Sinapic acid	no
UGT74P1	Lycium barbarum	4-hydroxyl-benzoic acid	no
UGT74P1	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	no
UGT74P1	Lycium barbarum	3,4-dichloroaniline	no
UGT74P1	Lycium barbarum	3,4-dihydroxylbenzoic acid	no
UGT74P1	Lycium barbarum	2,5-dihydroxylbenzoic acid	yes
UGT74P1	Lycium barbarum	Indole 3-acetate	no
UGT74P1	Lycium barbarum	Gibberellin A3	no
UGT74P1	Lycium barbarum	Gibberellin A4	no
UGT74P1	Lycium barbarum	(?)-Jasmonic acid	no
UGT74P1	Lycium barbarum	Kinetin	yes
UGT74P1	Lycium barbarum	Zeatin	yes
UGT74P1	Lycium barbarum	Luteolin	yes
UGT74P1	Lycium barbarum	Quercetin	yes
UGT74P1	Lycium barbarum	Fisetin	yes
UGT74P1	Lycium barbarum	Kaempferol	yes
UGT74P1	Lycium barbarum	Cinnamic acid	no
UGT74P1	Lycium barbarum	4-hydroxy cinnamic acid	no
UGT74P1	Lycium barbarum	3,4-dihyroxy cinnamic acid	no
UGT74P1	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	no
UGT74P1	Lycium barbarum	2-hydroxy cinnamic acid	no
UGT74P1	Lycium barbarum	3-hydroxy cinnamic acid	no
UGT74P1	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT74P1	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT74P1	Lycium barbarum	Trans-dihydroquercetin (DHQ)	no
UGT74P1	Lycium barbarum	novobiocin	no
UGT74P1	Lycium barbarum	Catechin	no
UGT74P1	Lycium barbarum	Genistein	yes
UGT74P1	Lycium barbarum	Olomoucine	no
UGT74P1	Lycium barbarum	spectinomycin	no
UGT74P1	Lycium barbarum	CHAPS	no
UGT74P1	Lycium barbarum	solanidine	no
UGT74P1	Lycium barbarum	solasodine	no
UGT74P1	Lycium barbarum	b-sitosterol	no
UGT73A10	Lycium barbarum	oleanodmycin	no
UGT73A10	Lycium barbarum	Baicalein	yes
UGT73A10	Lycium barbarum	Umbelliferone	no
UGT73A10	Lycium barbarum	4-Methyl-umbelliferone	no
UGT73A10	Lycium barbarum	Sinapic acid	yes
UGT73A10	Lycium barbarum	4-hydroxyl-benzoic acid	yes
UGT73A10	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	yes
UGT73A10	Lycium barbarum	3,4-dichloroaniline	no
UGT73A10	Lycium barbarum	3,4-dihydroxylbenzoic acid	yes
UGT73A10	Lycium barbarum	2,5-dihydroxylbenzoic acid	yes
UGT73A10	Lycium barbarum	Indole 3-acetate	no
UGT73A10	Lycium barbarum	Gibberellin A3	no
UGT73A10	Lycium barbarum	Gibberellin A4	no
UGT73A10	Lycium barbarum	(?)-Jasmonic acid	no
UGT73A10	Lycium barbarum	Kinetin	yes
UGT73A10	Lycium barbarum	Zeatin	yes
UGT73A10	Lycium barbarum	Luteolin	yes
UGT73A10	Lycium barbarum	Quercetin	yes
UGT73A10	Lycium barbarum	Fisetin	yes
UGT73A10	Lycium barbarum	Kaempferol	yes
UGT73A10	Lycium barbarum	Cinnamic acid	no
UGT73A10	Lycium barbarum	4-hydroxy cinnamic acid	yes
UGT73A10	Lycium barbarum	3,4-dihyroxy cinnamic acid	yes
UGT73A10	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	yes
UGT73A10	Lycium barbarum	2-hydroxy cinnamic acid	yes
UGT73A10	Lycium barbarum	3-hydroxy cinnamic acid	no
UGT73A10	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT73A10	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT73A10	Lycium barbarum	Trans-dihydroquercetin (DHQ)	yes
UGT73A10	Lycium barbarum	novobiocin	no
UGT73A10	Lycium barbarum	Catechin	yes
UGT73A10	Lycium barbarum	Genistein	yes
UGT73A10	Lycium barbarum	Olomoucine	no
UGT73A10	Lycium barbarum	spectinomycin	no
UGT73A10	Lycium barbarum	CHAPS	no
UGT73A10	Lycium barbarum	solanidine	no
UGT73A10	Lycium barbarum	solasodine	no
UGT73A10	Lycium barbarum	b-sitosterol	no
UGT74N1	Lycium barbarum	oleanodmycin	no
UGT74N1	Lycium barbarum	Baicalein	no
UGT74N1	Lycium barbarum	Umbelliferone	no
UGT74N1	Lycium barbarum	4-Methyl-umbelliferone	yes
UGT74N1	Lycium barbarum	Sinapic acid	no
UGT74N1	Lycium barbarum	4-hydroxyl-benzoic acid	no
UGT74N1	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	no
UGT74N1	Lycium barbarum	3,4-dichloroaniline	no
UGT74N1	Lycium barbarum	3,4-dihydroxylbenzoic acid	no
UGT74N1	Lycium barbarum	2,5-dihydroxylbenzoic acid	no
UGT74N1	Lycium barbarum	Indole 3-acetate	no
UGT74N1	Lycium barbarum	Gibberellin A3	no
UGT74N1	Lycium barbarum	Gibberellin A4	no
UGT74N1	Lycium barbarum	(?)-Jasmonic acid	no
UGT74N1	Lycium barbarum	Kinetin	no
UGT74N1	Lycium barbarum	Zeatin	no
UGT74N1	Lycium barbarum	Luteolin	yes
UGT74N1	Lycium barbarum	Quercetin	yes
UGT74N1	Lycium barbarum	Fisetin	yes
UGT74N1	Lycium barbarum	Kaempferol	yes
UGT74N1	Lycium barbarum	Cinnamic acid	no
UGT74N1	Lycium barbarum	4-hydroxy cinnamic acid	no
UGT74N1	Lycium barbarum	3,4-dihyroxy cinnamic acid	no
UGT74N1	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	no
UGT74N1	Lycium barbarum	2-hydroxy cinnamic acid	no
UGT74N1	Lycium barbarum	3-hydroxy cinnamic acid	no
UGT74N1	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT74N1	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT74N1	Lycium barbarum	Trans-dihydroquercetin (DHQ)	no
UGT74N1	Lycium barbarum	novobiocin	no
UGT74N1	Lycium barbarum	Catechin	no
UGT74N1	Lycium barbarum	Genistein	yes
UGT74N1	Lycium barbarum	Olomoucine	no
UGT74N1	Lycium barbarum	spectinomycin	no
UGT74N1	Lycium barbarum	CHAPS	no
UGT74N1	Lycium barbarum	solanidine	no
UGT74N1	Lycium barbarum	solasodine	no
UGT74N1	Lycium barbarum	b-sitosterol	no
UGT75L2	Lycium barbarum	oleanodmycin	no
UGT75L2	Lycium barbarum	Baicalein	yes
UGT75L2	Lycium barbarum	Umbelliferone	no
UGT75L2	Lycium barbarum	4-Methyl-umbelliferone	no
UGT75L2	Lycium barbarum	Sinapic acid	yes
UGT75L2	Lycium barbarum	4-hydroxyl-benzoic acid	yes
UGT75L2	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	no
UGT75L2	Lycium barbarum	3,4-dichloroaniline	no
UGT75L2	Lycium barbarum	3,4-dihydroxylbenzoic acid	yes
UGT75L2	Lycium barbarum	2,5-dihydroxylbenzoic acid	no
UGT75L2	Lycium barbarum	Indole 3-acetate	yes
UGT75L2	Lycium barbarum	Gibberellin A3	no
UGT75L2	Lycium barbarum	Gibberellin A4	no
UGT75L2	Lycium barbarum	(?)-Jasmonic acid	no
UGT75L2	Lycium barbarum	Kinetin	yes
UGT75L2	Lycium barbarum	Zeatin	no
UGT75L2	Lycium barbarum	Luteolin	yes
UGT75L2	Lycium barbarum	Quercetin	yes
UGT75L2	Lycium barbarum	Fisetin	yes
UGT75L2	Lycium barbarum	Kaempferol	yes
UGT75L2	Lycium barbarum	Cinnamic acid	no
UGT75L2	Lycium barbarum	4-hydroxy cinnamic acid	yes
UGT75L2	Lycium barbarum	3,4-dihyroxy cinnamic acid	yes
UGT75L2	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	yes
UGT75L2	Lycium barbarum	2-hydroxy cinnamic acid	yes
UGT75L2	Lycium barbarum	3-hydroxy cinnamic acid	yes
UGT75L2	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT75L2	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT75L2	Lycium barbarum	Trans-dihydroquercetin (DHQ)	yes
UGT75L2	Lycium barbarum	novobiocin	no
UGT75L2	Lycium barbarum	Catechin	yes
UGT75L2	Lycium barbarum	Genistein	yes
UGT75L2	Lycium barbarum	Olomoucine	no
UGT75L2	Lycium barbarum	spectinomycin	no
UGT75L2	Lycium barbarum	CHAPS	no
UGT75L2	Lycium barbarum	solanidine	no
UGT75L2	Lycium barbarum	solasodine	no
UGT75L2	Lycium barbarum	b-sitosterol	no
UGT85A20	Lycium barbarum	oleanodmycin	no
UGT85A20	Lycium barbarum	Baicalein	no
UGT85A20	Lycium barbarum	Umbelliferone	no
UGT85A20	Lycium barbarum	4-Methyl-umbelliferone	no
UGT85A20	Lycium barbarum	Sinapic acid	yes
UGT85A20	Lycium barbarum	4-hydroxyl-benzoic acid	yes
UGT85A20	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	no
UGT85A20	Lycium barbarum	3,4-dichloroaniline	no
UGT85A20	Lycium barbarum	3,4-dihydroxylbenzoic acid	no
UGT85A20	Lycium barbarum	2,5-dihydroxylbenzoic acid	no
UGT85A20	Lycium barbarum	Indole 3-acetate	no
UGT85A20	Lycium barbarum	Gibberellin A3	no
UGT85A20	Lycium barbarum	Gibberellin A4	no
UGT85A20	Lycium barbarum	(?)-Jasmonic acid	no
UGT85A20	Lycium barbarum	Kinetin	no
UGT85A20	Lycium barbarum	Zeatin	no
UGT85A20	Lycium barbarum	Luteolin	yes
UGT85A20	Lycium barbarum	Quercetin	yes
UGT85A20	Lycium barbarum	Fisetin	yes
UGT85A20	Lycium barbarum	Kaempferol	yes
UGT85A20	Lycium barbarum	Cinnamic acid	no
UGT85A20	Lycium barbarum	4-hydroxy cinnamic acid	yes
UGT85A20	Lycium barbarum	3,4-dihyroxy cinnamic acid	yes
UGT85A20	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	no
UGT85A20	Lycium barbarum	2-hydroxy cinnamic acid	no
UGT85A20	Lycium barbarum	3-hydroxy cinnamic acid	no
UGT85A20	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT85A20	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT85A20	Lycium barbarum	Trans-dihydroquercetin (DHQ)	no
UGT85A20	Lycium barbarum	novobiocin	no
UGT85A20	Lycium barbarum	Catechin	yes
UGT85A20	Lycium barbarum	Genistein	yes
UGT85A20	Lycium barbarum	Olomoucine	no
UGT85A20	Lycium barbarum	spectinomycin	no
UGT85A20	Lycium barbarum	CHAPS	no
UGT85A20	Lycium barbarum	solanidine	no
UGT85A20	Lycium barbarum	solasodine	no
UGT85A20	Lycium barbarum	b-sitosterol	no
UGT73Q1	Lycium barbarum	oleanodmycin	no
UGT73Q1	Lycium barbarum	Baicalein	no
UGT73Q1	Lycium barbarum	Umbelliferone	no
UGT73Q1	Lycium barbarum	4-Methyl-umbelliferone	no
UGT73Q1	Lycium barbarum	Sinapic acid	no
UGT73Q1	Lycium barbarum	4-hydroxyl-benzoic acid	no
UGT73Q1	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	no
UGT73Q1	Lycium barbarum	3,4-dichloroaniline	no
UGT73Q1	Lycium barbarum	3,4-dihydroxylbenzoic acid	no
UGT73Q1	Lycium barbarum	2,5-dihydroxylbenzoic acid	no
UGT73Q1	Lycium barbarum	Indole 3-acetate	no
UGT73Q1	Lycium barbarum	Gibberellin A3	no
UGT73Q1	Lycium barbarum	Gibberellin A4	no
UGT73Q1	Lycium barbarum	(?)-Jasmonic acid	no
UGT73Q1	Lycium barbarum	Kinetin	no
UGT73Q1	Lycium barbarum	Zeatin	no
UGT73Q1	Lycium barbarum	Luteolin	yes
UGT73Q1	Lycium barbarum	Quercetin	yes
UGT73Q1	Lycium barbarum	Fisetin	yes
UGT73Q1	Lycium barbarum	Kaempferol	yes
UGT73Q1	Lycium barbarum	Cinnamic acid	no
UGT73Q1	Lycium barbarum	4-hydroxy cinnamic acid	no
UGT73Q1	Lycium barbarum	3,4-dihyroxy cinnamic acid	no
UGT73Q1	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	no
UGT73Q1	Lycium barbarum	2-hydroxy cinnamic acid	no
UGT73Q1	Lycium barbarum	3-hydroxy cinnamic acid	no
UGT73Q1	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	yes
UGT73Q1	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT73Q1	Lycium barbarum	Trans-dihydroquercetin (DHQ)	no
UGT73Q1	Lycium barbarum	novobiocin	no
UGT73Q1	Lycium barbarum	Catechin	yes
UGT73Q1	Lycium barbarum	Genistein	yes
UGT73Q1	Lycium barbarum	Olomoucine	no
UGT73Q1	Lycium barbarum	spectinomycin	no
