cas	cid	ID	Description	UGT	Accession	Polyphenol Name	Yield
708-53-2	12820	2	GRMZM2G372068P01		B4F9H1	2',3'-Dihydroxy-4'-methoxyacetophenone	21
529-84-0	5319502	2	GRMZM2G372068P01		B4F9H1	4-Methylesculetin	11
2107-76-8	5354284	2	GRMZM2G372068P01		B4F9H1	4-Methyllimetol	2
3843-74-1	689075	2	GRMZM2G372068P01		B4F9H1	Methyl caffeate acid	57
4707-47-5	238398	2	GRMZM2G372068P01		B4F9H1	Atraric acid	13
69039-02-7	155240	2	GRMZM2G372068P01		B4F9H1	Hydroxytyrosol Acetate	39
121-79-9	4947	2	GRMZM2G372068P01		B4F9H1	Propyl gallate	55
606-12-2	220295	2	GRMZM2G372068P01		B4F9H1	2,4'-Dihydroxybenzophenone	1
531-95-3	91469	2	GRMZM2G372068P01		B4F9H1	Equol	1
33626-08-3	6255462	2	GRMZM2G372068P01		B4F9H1	4'-Methoxyresveratrol	95
86361-55-9	45382232	2	GRMZM2G372068P01		B4F9H1	Gnetol	6
842-01-3	5413034	2	GRMZM2G372068P01		B4F9H1	7,8-Dihydroxy-4-phenylcoumarin	0
7758-73-8	5398649	2	GRMZM2G372068P01		B4F9H1	5,7-Dihydroxy-4-phenylcoumarin	0
32507-66-7	5318650	2	GRMZM2G372068P01		B4F9H1	Isorhapontigenin	36
17817-31-1	5284649	2	GRMZM2G372068P01		B4F9H1	6,7,4'-Trihydroxyisoflavone	5
487-52-5	5281222	2	GRMZM2G372068P01		B4F9H1	Butein	30
20575-57-9	5280448	2	GRMZM2G372068P01		B4F9H1	Calycosin	0
480-11-5	5320315	2	GRMZM2G372068P01		B4F9H1	Oroxylin A	0
104594-70-9	5281787	2	GRMZM2G372068P01		B4F9H1	Caffeic Acid Phenethyl Ester	92
2957-21-3	73571	2	GRMZM2G372068P01		B4F9H1	Sakuranetin	0
552-58-9	440735	2	GRMZM2G372068P01		B4F9H1	Eriodictyol	7
480-20-6	122850	2	GRMZM2G372068P01		B4F9H1	Aromadendrin	2
1447-88-7	5281628	2	GRMZM2G372068P01		B4F9H1	Hispidulin	0
548-77-6	5281811	2	GRMZM2G372068P01		B4F9H1	Tectorigenin	0
37308-75-1	6293081	2	GRMZM2G372068P01		B4F9H1	Flavokawain C	0
500-38-9	4534	2	GRMZM2G372068P01		B4F9H1	Nordihydroguaiaretic acid	0
102036-29-3	13846689	2	GRMZM2G372068P01		B4F9H1	Protosappanin B	0
108853-14-1	176096	2	GRMZM2G372068P01		B4F9H1	Dendrophenol	0
520-11-6	5317284	2	GRMZM2G372068P01		B4F9H1	6-Methoxyluteolin	3
41060-15-5	5320053	2	GRMZM2G372068P01		B4F9H1	Neobavaisoflavone	0
19879-32-4	5321775	2	GRMZM2G372068P01		B4F9H1	Bavachin	12
67979-25-3	155011	2	GRMZM2G372068P01		B4F9H1	Aurantio-obtusin	0
18085-97-7	5379096	2	GRMZM2G372068P01		B4F9H1	Jaceosidin	1
906-33-2	5280633	2	GRMZM2G372068P01		B4F9H1	Neochlorogenic acid	0
548-76-5	5464170	2	GRMZM2G372068P01		B4F9H1	Irigenin	0
27208-80-6	5281718	2	GRMZM2G372068P01		B4F9H1	Polydatin	0
500-65-2	5320954	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Rhapontigenin	29
446-72-0	5280961	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Genistein	15
520-36-5	5280443	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Apigenin	59
491-70-3	5280445	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Luteolin	23
4773-96-0	5281647	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Mangiferin	0
3681-93-4	5280441	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Vitexin	5
1126-61-0	70775	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	4-Allylpyrocatechol	8
13677-79-7	83651	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Homogentisic acid	0
31721-94-5	5281343	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	5,7-Dihydroxychromone	2
1983-81-9	54679630	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	4,7-DIHYDROXYCOUMARIN	1
708-53-2	12820	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	2',3'-Dihydroxy-4'-methoxyacetophenone	4
529-84-0	5319502	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	4-Methylesculetin	17
2107-76-8	5354284	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	4-Methyllimetol	38
3843-74-1	689075	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Methyl caffeate acid	16
4707-47-5	238398	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Atraric acid	4
69039-02-7	155240	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Hydroxytyrosol Acetate	7
121-79-9	4947	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Propyl gallate	22
606-12-2	220295	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	2,4'-Dihydroxybenzophenone	10
531-95-3	91469	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Equol	1
33626-08-3	6255462	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	4'-Methoxyresveratrol	14
86361-55-9	45382232	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Gnetol	4
842-01-3	5413034	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	7,8-Dihydroxy-4-phenylcoumarin	15
7758-73-8	5398649	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	5,7-Dihydroxy-4-phenylcoumarin	79
32507-66-7	5318650	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Isorhapontigenin	38
17817-31-1	5284649	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	6,7,4'-Trihydroxyisoflavone	0
487-52-5	5281222	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Butein	0
20575-57-9	5280448	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Calycosin	7
480-11-5	5320315	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Oroxylin A	39
104594-70-9	5281787	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Caffeic Acid Phenethyl Ester	55
2957-21-3	73571	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Sakuranetin	18
552-58-9	440735	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Eriodictyol	10
480-20-6	122850	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Aromadendrin	21
1447-88-7	5281628	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Hispidulin	34
548-77-6	5281811	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Tectorigenin	8
37308-75-1	6293081	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Flavokawain C	14
500-38-9	4534	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Nordihydroguaiaretic acid	0
102036-29-3	13846689	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Protosappanin B	0
108853-14-1	176096	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Dendrophenol	1
520-11-6	5317284	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	6-Methoxyluteolin	25
41060-15-5	5320053	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Neobavaisoflavone	15
19879-32-4	5321775	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Bavachin	55
67979-25-3	155011	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Aurantio-obtusin	53
18085-97-7	5379096	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Jaceosidin	64
906-33-2	5280633	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Neochlorogenic acid	0
548-76-5	5464170	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Irigenin	8
27208-80-6	5281718	5	GRMZM2G162783P01	UGT708A6	A0A096SRM5	Polydatin	1
500-65-2	5320954	9			C0HFA0	Rhapontigenin	22
446-72-0	5280961	9			C0HFA0	Genistein	0
520-36-5	5280443	9			C0HFA0	Apigenin	0
491-70-3	5280445	9			C0HFA0	Luteolin	24
4773-96-0	5281647	9			C0HFA0	Mangiferin	1
3681-93-4	5280441	9			C0HFA0	Vitexin	0
1126-61-0	70775	9			C0HFA0	4-Allylpyrocatechol	61
13677-79-7	83651	9			C0HFA0	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	9			C0HFA0	Homogentisic acid	0
31721-94-5	5281343	9			C0HFA0	5,7-Dihydroxychromone	12
1983-81-9	54679630	9			C0HFA0	4,7-DIHYDROXYCOUMARIN	0
708-53-2	12820	9			C0HFA0	2',3'-Dihydroxy-4'-methoxyacetophenone	3
529-84-0	5319502	9			C0HFA0	4-Methylesculetin	39
2107-76-8	5354284	9			C0HFA0	4-Methyllimetol	86
3843-74-1	689075	9			C0HFA0	Methyl caffeate acid	49
4707-47-5	238398	9			C0HFA0	Atraric acid	3
69039-02-7	155240	9			C0HFA0	Hydroxytyrosol Acetate	47
121-79-9	4947	9			C0HFA0	Propyl gallate	71
606-12-2	220295	9			C0HFA0	2,4'-Dihydroxybenzophenone	20
531-95-3	91469	9			C0HFA0	Equol	1
33626-08-3	6255462	9			C0HFA0	4'-Methoxyresveratrol	37
86361-55-9	45382232	9			C0HFA0	Gnetol	8
842-01-3	5413034	9			C0HFA0	7,8-Dihydroxy-4-phenylcoumarin	10
7758-73-8	5398649	9			C0HFA0	5,7-Dihydroxy-4-phenylcoumarin	28
32507-66-7	5318650	9			C0HFA0	Isorhapontigenin	30
17817-31-1	5284649	9			C0HFA0	6,7,4'-Trihydroxyisoflavone	0
487-52-5	5281222	9			C0HFA0	Butein	24
20575-57-9	5280448	9			C0HFA0	Calycosin	2
480-11-5	5320315	9			C0HFA0	Oroxylin A	30
104594-70-9	5281787	9			C0HFA0	Caffeic Acid Phenethyl Ester	55
2957-21-3	73571	9			C0HFA0	Sakuranetin	0
552-58-9	440735	9			C0HFA0	Eriodictyol	66
480-20-6	122850	9			C0HFA0	Aromadendrin	1
1447-88-7	5281628	9			C0HFA0	Hispidulin	12
548-77-6	5281811	9			C0HFA0	Tectorigenin	1
37308-75-1	6293081	9			C0HFA0	Flavokawain C	0
500-38-9	4534	9			C0HFA0	Nordihydroguaiaretic acid	3
102036-29-3	13846689	9			C0HFA0	Protosappanin B	0
108853-14-1	176096	9			C0HFA0	Dendrophenol	1
520-11-6	5317284	9			C0HFA0	6-Methoxyluteolin	24
41060-15-5	5320053	9			C0HFA0	Neobavaisoflavone	0
19879-32-4	5321775	9			C0HFA0	Bavachin	6
67979-25-3	155011	9			C0HFA0	Aurantio-obtusin	38
18085-97-7	5379096	9			C0HFA0	Jaceosidin	36
906-33-2	5280633	9			C0HFA0	Neochlorogenic acid	0
548-76-5	5464170	9			C0HFA0	Irigenin	4
27208-80-6	5281718	9			C0HFA0	Polydatin	0
500-65-2	5320954	10	GRMZM2G043295P01		B4FG90	Rhapontigenin	75
446-72-0	5280961	10	GRMZM2G043295P01		B4FG90	Genistein	34
520-36-5	5280443	10	GRMZM2G043295P01		B4FG90	Apigenin	83
491-70-3	5280445	10	GRMZM2G043295P01		B4FG90	Luteolin	77
4773-96-0	5281647	10	GRMZM2G043295P01		B4FG90	Mangiferin	1
3681-93-4	5280441	10	GRMZM2G043295P01		B4FG90	Vitexin	8
1126-61-0	70775	10	GRMZM2G043295P01		B4FG90	4-Allylpyrocatechol	6
13677-79-7	83651	10	GRMZM2G043295P01		B4FG90	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	10	GRMZM2G043295P01		B4FG90	Homogentisic acid	0
31721-94-5	5281343	10	GRMZM2G043295P01		B4FG90	5,7-Dihydroxychromone	30
1983-81-9	54679630	10	GRMZM2G043295P01		B4FG90	4,7-DIHYDROXYCOUMARIN	0
708-53-2	12820	10	GRMZM2G043295P01		B4FG90	2',3'-Dihydroxy-4'-methoxyacetophenone	44
529-84-0	5319502	10	GRMZM2G043295P01		B4FG90	4-Methylesculetin	57
2107-76-8	5354284	10	GRMZM2G043295P01		B4FG90	4-Methyllimetol	89
3843-74-1	689075	10	GRMZM2G043295P01		B4FG90	Methyl caffeate acid	47
4707-47-5	238398	10	GRMZM2G043295P01		B4FG90	Atraric acid	56
69039-02-7	155240	10	GRMZM2G043295P01		B4FG90	Hydroxytyrosol Acetate	1
121-79-9	4947	10	GRMZM2G043295P01		B4FG90	Propyl gallate	52
606-12-2	220295	10	GRMZM2G043295P01		B4FG90	2,4'-Dihydroxybenzophenone	19
531-95-3	91469	10	GRMZM2G043295P01		B4FG90	Equol	12
33626-08-3	6255462	10	GRMZM2G043295P01		B4FG90	4'-Methoxyresveratrol	15
86361-55-9	45382232	10	GRMZM2G043295P01		B4FG90	Gnetol	7
842-01-3	5413034	10	GRMZM2G043295P01		B4FG90	7,8-Dihydroxy-4-phenylcoumarin	43
7758-73-8	5398649	10	GRMZM2G043295P01		B4FG90	5,7-Dihydroxy-4-phenylcoumarin	40
32507-66-7	5318650	10	GRMZM2G043295P01		B4FG90	Isorhapontigenin	46
17817-31-1	5284649	10	GRMZM2G043295P01		B4FG90	6,7,4'-Trihydroxyisoflavone	64
487-52-5	5281222	10	GRMZM2G043295P01		B4FG90	Butein	58
20575-57-9	5280448	10	GRMZM2G043295P01		B4FG90	Calycosin	21
480-11-5	5320315	10	GRMZM2G043295P01		B4FG90	Oroxylin A	48
104594-70-9	5281787	10	GRMZM2G043295P01		B4FG90	Caffeic Acid Phenethyl Ester	72
2957-21-3	73571	10	GRMZM2G043295P01		B4FG90	Sakuranetin	13
552-58-9	440735	10	GRMZM2G043295P01		B4FG90	Eriodictyol	13
480-20-6	122850	10	GRMZM2G043295P01		B4FG90	Aromadendrin	31
1447-88-7	5281628	10	GRMZM2G043295P01		B4FG90	Hispidulin	79
548-77-6	5281811	10	GRMZM2G043295P01		B4FG90	Tectorigenin	23
37308-75-1	6293081	10	GRMZM2G043295P01		B4FG90	Flavokawain C	10
500-38-9	4534	10	GRMZM2G043295P01		B4FG90	Nordihydroguaiaretic acid	9
102036-29-3	13846689	10	GRMZM2G043295P01		B4FG90	Protosappanin B	0
108853-14-1	176096	10	GRMZM2G043295P01		B4FG90	Dendrophenol	1
520-11-6	5317284	10	GRMZM2G043295P01		B4FG90	6-Methoxyluteolin	65
41060-15-5	5320053	10	GRMZM2G043295P01		B4FG90	Neobavaisoflavone	0
19879-32-4	5321775	10	GRMZM2G043295P01		B4FG90	Bavachin	36
67979-25-3	155011	10	GRMZM2G043295P01		B4FG90	Aurantio-obtusin	62
18085-97-7	5379096	10	GRMZM2G043295P01		B4FG90	Jaceosidin	64
906-33-2	5280633	10	GRMZM2G043295P01		B4FG90	Neochlorogenic acid	0
548-76-5	5464170	10	GRMZM2G043295P01		B4FG90	Irigenin	18
27208-80-6	5281718	10	GRMZM2G043295P01		B4FG90	Polydatin	1
500-65-2	5320954	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Rhapontigenin	35
446-72-0	5280961	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Genistein	1
520-36-5	5280443	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Apigenin	0
491-70-3	5280445	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Luteolin	0
4773-96-0	5281647	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Mangiferin	1
3681-93-4	5280441	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Vitexin	0
1126-61-0	70775	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	4-Allylpyrocatechol	3
13677-79-7	83651	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Homogentisic acid	19
31721-94-5	5281343	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	5,7-Dihydroxychromone	1
1983-81-9	54679630	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	4,7-DIHYDROXYCOUMARIN	0
708-53-2	12820	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	2',3'-Dihydroxy-4'-methoxyacetophenone	36
529-84-0	5319502	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	4-Methylesculetin	2
2107-76-8	5354284	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	4-Methyllimetol	77
3843-74-1	689075	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Methyl caffeate acid	80
4707-47-5	238398	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Atraric acid	24
69039-02-7	155240	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Hydroxytyrosol Acetate	0
121-79-9	4947	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Propyl gallate	56
606-12-2	220295	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	2,4'-Dihydroxybenzophenone	35
531-95-3	91469	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Equol	0
33626-08-3	6255462	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	4'-Methoxyresveratrol	96
86361-55-9	45382232	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Gnetol	80
842-01-3	5413034	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	7,8-Dihydroxy-4-phenylcoumarin	46
7758-73-8	5398649	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	5,7-Dihydroxy-4-phenylcoumarin	24
32507-66-7	5318650	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Isorhapontigenin	55
17817-31-1	5284649	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	6,7,4'-Trihydroxyisoflavone	0
487-52-5	5281222	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Butein	0
20575-57-9	5280448	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Calycosin	13
480-11-5	5320315	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Oroxylin A	0
104594-70-9	5281787	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Caffeic Acid Phenethyl Ester	39
2957-21-3	73571	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Sakuranetin	0
552-58-9	440735	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Eriodictyol	2
480-20-6	122850	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Aromadendrin	16
1447-88-7	5281628	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Hispidulin	0
548-77-6	5281811	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Tectorigenin	0
37308-75-1	6293081	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Flavokawain C	0
500-38-9	4534	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Nordihydroguaiaretic acid	26
102036-29-3	13846689	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Protosappanin B	0
108853-14-1	176096	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Dendrophenol	1
520-11-6	5317284	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	6-Methoxyluteolin	24
41060-15-5	5320053	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Neobavaisoflavone	2
19879-32-4	5321775	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Bavachin	0
67979-25-3	155011	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Aurantio-obtusin	3
18085-97-7	5379096	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Jaceosidin	0
906-33-2	5280633	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Neochlorogenic acid	0
548-76-5	5464170	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Irigenin	12
27208-80-6	5281718	11	GRMZM2G15991P01	UGT71E1	Q6VAB2	Polydatin	0
500-65-2	5320954	16	SlUGT5 (UGT72)		D7S016	Rhapontigenin	98
446-72-0	5280961	16	SlUGT5 (UGT72)		D7S016	Genistein	28
520-36-5	5280443	16	SlUGT5 (UGT72)		D7S016	Apigenin	73
491-70-3	5280445	16	SlUGT5 (UGT72)		D7S016	Luteolin	85
4773-96-0	5281647	16	SlUGT5 (UGT72)		D7S016	Mangiferin	1
3681-93-4	5280441	16	SlUGT5 (UGT72)		D7S016	Vitexin	0
1126-61-0	70775	16	SlUGT5 (UGT72)		D7S016	4-Allylpyrocatechol	71
13677-79-7	83651	16	SlUGT5 (UGT72)		D7S016	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	16	SlUGT5 (UGT72)		D7S016	Homogentisic acid	100
31721-94-5	5281343	16	SlUGT5 (UGT72)		D7S016	5,7-Dihydroxychromone	19
1983-81-9	54679630	16	SlUGT5 (UGT72)		D7S016	4,7-DIHYDROXYCOUMARIN	21
708-53-2	12820	16	SlUGT5 (UGT72)		D7S016	2',3'-Dihydroxy-4'-methoxyacetophenone	50
529-84-0	5319502	16	SlUGT5 (UGT72)		D7S016	4-Methylesculetin	10
2107-76-8	5354284	16	SlUGT5 (UGT72)		D7S016	4-Methyllimetol	74
3843-74-1	689075	16	SlUGT5 (UGT72)		D7S016	Methyl caffeate acid	86
4707-47-5	238398	16	SlUGT5 (UGT72)		D7S016	Atraric acid	64
69039-02-7	155240	16	SlUGT5 (UGT72)		D7S016	Hydroxytyrosol Acetate	7
121-79-9	4947	16	SlUGT5 (UGT72)		D7S016	Propyl gallate	98
606-12-2	220295	16	SlUGT5 (UGT72)		D7S016	2,4'-Dihydroxybenzophenone	19
531-95-3	91469	16	SlUGT5 (UGT72)		D7S016	Equol	18
33626-08-3	6255462	16	SlUGT5 (UGT72)		D7S016	4'-Methoxyresveratrol	98
86361-55-9	45382232	16	SlUGT5 (UGT72)		D7S016	Gnetol	56
842-01-3	5413034	16	SlUGT5 (UGT72)		D7S016	7,8-Dihydroxy-4-phenylcoumarin	44
7758-73-8	5398649	16	SlUGT5 (UGT72)		D7S016	5,7-Dihydroxy-4-phenylcoumarin	26
32507-66-7	5318650	16	SlUGT5 (UGT72)		D7S016	Isorhapontigenin	61
17817-31-1	5284649	16	SlUGT5 (UGT72)		D7S016	6,7,4'-Trihydroxyisoflavone	42
487-52-5	5281222	16	SlUGT5 (UGT72)		D7S016	Butein	100
20575-57-9	5280448	16	SlUGT5 (UGT72)		D7S016	Calycosin	33
480-11-5	5320315	16	SlUGT5 (UGT72)		D7S016	Oroxylin A	24
