Accession	cas	cid	ID	Description	UGT	Polyphenol Name	Yield	enzyme
B4F9H1	37308-75-1	6293081	2	GRMZM2G372068P01		Flavokawain C	0	Zm_72068
B4F9H1	500-38-9	4534	2	GRMZM2G372068P01		Nordihydroguaiaretic acid	0	Zm_72068
B4F9H1	102036-29-3	13846689	2	GRMZM2G372068P01		Protosappanin B	0	Zm_72068
B4F9H1	108853-14-1	176096	2	GRMZM2G372068P01		Dendrophenol	0	Zm_72068
B4F9H1	520-11-6	5317284	2	GRMZM2G372068P01		6-Methoxyluteolin	3	Zm_72068
B4F9H1	41060-15-5	5320053	2	GRMZM2G372068P01		Neobavaisoflavone	0	Zm_72068
B4F9H1	19879-32-4	5321775	2	GRMZM2G372068P01		Bavachin	12	Zm_72068
B4F9H1	67979-25-3	155011	2	GRMZM2G372068P01		Aurantio-obtusin	0	Zm_72068
B4F9H1	18085-97-7	5379096	2	GRMZM2G372068P01		Jaceosidin	1	Zm_72068
B4F9H1	906-33-2	5280633	2	GRMZM2G372068P01		Neochlorogenic acid	0	Zm_72068
B4F9H1	548-76-5	5464170	2	GRMZM2G372068P01		Irigenin	0	Zm_72068
B4F9H1	27208-80-6	5281718	2	GRMZM2G372068P01		Polydatin	0	Zm_72068
A0A096SRM5	500-65-2	5320954	5	GRMZM2G162783P01	UGT708A6	Rhapontigenin	29	Zm_62783
A0A096SRM5	446-72-0	5280961	5	GRMZM2G162783P01	UGT708A6	Genistein	15	Zm_62783
A0A096SRM5	520-36-5	5280443	5	GRMZM2G162783P01	UGT708A6	Apigenin	59	Zm_62783
A0A096SRM5	491-70-3	5280445	5	GRMZM2G162783P01	UGT708A6	Luteolin	23	Zm_62783
A0A096SRM5	4773-96-0	5281647	5	GRMZM2G162783P01	UGT708A6	Mangiferin	0	Zm_62783
A0A096SRM5	3681-93-4	5280441	5	GRMZM2G162783P01	UGT708A6	Vitexin	5	Zm_62783
A0A096SRM5	1126-61-0	70775	5	GRMZM2G162783P01	UGT708A6	4-Allylpyrocatechol	8	Zm_62783
A0A096SRM5	13677-79-7	83651	5	GRMZM2G162783P01	UGT708A6	2,3,4-Trihydroxybenzoic acid	0	Zm_62783
A0A096SRM5	451-13-8	780	5	GRMZM2G162783P01	UGT708A6	Homogentisic acid	0	Zm_62783
A0A096SRM5	31721-94-5	5281343	5	GRMZM2G162783P01	UGT708A6	5,7-Dihydroxychromone	2	Zm_62783
A0A096SRM5	1983-81-9	54679630	5	GRMZM2G162783P01	UGT708A6	4,7-DIHYDROXYCOUMARIN	1	Zm_62783
A0A096SRM5	708-53-2	12820	5	GRMZM2G162783P01	UGT708A6	2',3'-Dihydroxy-4'-methoxyacetophenone	4	Zm_62783
A0A096SRM5	529-84-0	5319502	5	GRMZM2G162783P01	UGT708A6	4-Methylesculetin	17	Zm_62783
A0A096SRM5	2107-76-8	5354284	5	GRMZM2G162783P01	UGT708A6	4-Methyllimetol	38	Zm_62783
A0A096SRM5	3843-74-1	689075	5	GRMZM2G162783P01	UGT708A6	Methyl caffeate acid	16	Zm_62783
A0A096SRM5	4707-47-5	238398	5	GRMZM2G162783P01	UGT708A6	Atraric acid	4	Zm_62783
A0A096SRM5	69039-02-7	155240	5	GRMZM2G162783P01	UGT708A6	Hydroxytyrosol Acetate	7	Zm_62783
A0A096SRM5	121-79-9	4947	5	GRMZM2G162783P01	UGT708A6	Propyl gallate	22	Zm_62783
A0A096SRM5	606-12-2	220295	5	GRMZM2G162783P01	UGT708A6	2,4'-Dihydroxybenzophenone	10	Zm_62783
A0A096SRM5	531-95-3	91469	5	GRMZM2G162783P01	UGT708A6	Equol	1	Zm_62783
A0A096SRM5	33626-08-3	6255462	5	GRMZM2G162783P01	UGT708A6	4'-Methoxyresveratrol	14	Zm_62783
A0A096SRM5	86361-55-9	45382232	5	GRMZM2G162783P01	UGT708A6	Gnetol	4	Zm_62783
A0A096SRM5	842-01-3	5413034	5	GRMZM2G162783P01	UGT708A6	7,8-Dihydroxy-4-phenylcoumarin	15	Zm_62783
A0A096SRM5	7758-73-8	5398649	5	GRMZM2G162783P01	UGT708A6	5,7-Dihydroxy-4-phenylcoumarin	79	Zm_62783
A0A096SRM5	32507-66-7	5318650	5	GRMZM2G162783P01	UGT708A6	Isorhapontigenin	38	Zm_62783
A0A096SRM5	17817-31-1	5284649	5	GRMZM2G162783P01	UGT708A6	6,7,4'-Trihydroxyisoflavone	0	Zm_62783
A0A096SRM5	487-52-5	5281222	5	GRMZM2G162783P01	UGT708A6	Butein	0	Zm_62783
A0A096SRM5	20575-57-9	5280448	5	GRMZM2G162783P01	UGT708A6	Calycosin	7	Zm_62783
A0A096SRM5	480-11-5	5320315	5	GRMZM2G162783P01	UGT708A6	Oroxylin A	39	Zm_62783
A0A096SRM5	104594-70-9	5281787	5	GRMZM2G162783P01	UGT708A6	Caffeic Acid Phenethyl Ester	55	Zm_62783
A0A096SRM5	2957-21-3	73571	5	GRMZM2G162783P01	UGT708A6	Sakuranetin	18	Zm_62783
A0A096SRM5	552-58-9	440735	5	GRMZM2G162783P01	UGT708A6	Eriodictyol	10	Zm_62783
A0A096SRM5	480-20-6	122850	5	GRMZM2G162783P01	UGT708A6	Aromadendrin	21	Zm_62783
A0A096SRM5	1447-88-7	5281628	5	GRMZM2G162783P01	UGT708A6	Hispidulin	34	Zm_62783
A0A096SRM5	548-77-6	5281811	5	GRMZM2G162783P01	UGT708A6	Tectorigenin	8	Zm_62783
A0A096SRM5	37308-75-1	6293081	5	GRMZM2G162783P01	UGT708A6	Flavokawain C	14	Zm_62783
A0A096SRM5	500-38-9	4534	5	GRMZM2G162783P01	UGT708A6	Nordihydroguaiaretic acid	0	Zm_62783
A0A096SRM5	102036-29-3	13846689	5	GRMZM2G162783P01	UGT708A6	Protosappanin B	0	Zm_62783
A0A096SRM5	108853-14-1	176096	5	GRMZM2G162783P01	UGT708A6	Dendrophenol	1	Zm_62783
A0A096SRM5	520-11-6	5317284	5	GRMZM2G162783P01	UGT708A6	6-Methoxyluteolin	25	Zm_62783
A0A096SRM5	41060-15-5	5320053	5	GRMZM2G162783P01	UGT708A6	Neobavaisoflavone	15	Zm_62783
A0A096SRM5	19879-32-4	5321775	5	GRMZM2G162783P01	UGT708A6	Bavachin	55	Zm_62783
A0A096SRM5	67979-25-3	155011	5	GRMZM2G162783P01	UGT708A6	Aurantio-obtusin	53	Zm_62783
A0A096SRM5	18085-97-7	5379096	5	GRMZM2G162783P01	UGT708A6	Jaceosidin	64	Zm_62783
A0A096SRM5	906-33-2	5280633	5	GRMZM2G162783P01	UGT708A6	Neochlorogenic acid	0	Zm_62783
A0A096SRM5	548-76-5	5464170	5	GRMZM2G162783P01	UGT708A6	Irigenin	8	Zm_62783
A0A096SRM5	27208-80-6	5281718	5	GRMZM2G162783P01	UGT708A6	Polydatin	1	Zm_62783
C0HFA0	500-65-2	5320954	9			Rhapontigenin	22	Zm_51683
C0HFA0	446-72-0	5280961	9			Genistein	0	Zm_51683
C0HFA0	520-36-5	5280443	9			Apigenin	0	Zm_51683
C0HFA0	491-70-3	5280445	9			Luteolin	24	Zm_51683
C0HFA0	4773-96-0	5281647	9			Mangiferin	1	Zm_51683
C0HFA0	3681-93-4	5280441	9			Vitexin	0	Zm_51683
C0HFA0	1126-61-0	70775	9			4-Allylpyrocatechol	61	Zm_51683
C0HFA0	13677-79-7	83651	9			2,3,4-Trihydroxybenzoic acid	0	Zm_51683
C0HFA0	451-13-8	780	9			Homogentisic acid	0	Zm_51683
C0HFA0	31721-94-5	5281343	9			5,7-Dihydroxychromone	12	Zm_51683
C0HFA0	1983-81-9	54679630	9			4,7-DIHYDROXYCOUMARIN	0	Zm_51683
C0HFA0	708-53-2	12820	9			2',3'-Dihydroxy-4'-methoxyacetophenone	3	Zm_51683
C0HFA0	529-84-0	5319502	9			4-Methylesculetin	39	Zm_51683
C0HFA0	2107-76-8	5354284	9			4-Methyllimetol	86	Zm_51683
C0HFA0	3843-74-1	689075	9			Methyl caffeate acid	49	Zm_51683
C0HFA0	4707-47-5	238398	9			Atraric acid	3	Zm_51683
C0HFA0	69039-02-7	155240	9			Hydroxytyrosol Acetate	47	Zm_51683
C0HFA0	121-79-9	4947	9			Propyl gallate	71	Zm_51683
C0HFA0	606-12-2	220295	9			2,4'-Dihydroxybenzophenone	20	Zm_51683
C0HFA0	531-95-3	91469	9			Equol	1	Zm_51683
C0HFA0	33626-08-3	6255462	9			4'-Methoxyresveratrol	37	Zm_51683
C0HFA0	86361-55-9	45382232	9			Gnetol	8	Zm_51683
C0HFA0	842-01-3	5413034	9			7,8-Dihydroxy-4-phenylcoumarin	10	Zm_51683
C0HFA0	7758-73-8	5398649	9			5,7-Dihydroxy-4-phenylcoumarin	28	Zm_51683
C0HFA0	32507-66-7	5318650	9			Isorhapontigenin	30	Zm_51683
C0HFA0	17817-31-1	5284649	9			6,7,4'-Trihydroxyisoflavone	0	Zm_51683
C0HFA0	487-52-5	5281222	9			Butein	24	Zm_51683
C0HFA0	20575-57-9	5280448	9			Calycosin	2	Zm_51683
C0HFA0	480-11-5	5320315	9			Oroxylin A	30	Zm_51683
C0HFA0	104594-70-9	5281787	9			Caffeic Acid Phenethyl Ester	55	Zm_51683
C0HFA0	2957-21-3	73571	9			Sakuranetin	0	Zm_51683
C0HFA0	552-58-9	440735	9			Eriodictyol	66	Zm_51683
C0HFA0	480-20-6	122850	9			Aromadendrin	1	Zm_51683
C0HFA0	1447-88-7	5281628	9			Hispidulin	12	Zm_51683
C0HFA0	548-77-6	5281811	9			Tectorigenin	1	Zm_51683
C0HFA0	37308-75-1	6293081	9			Flavokawain C	0	Zm_51683
C0HFA0	500-38-9	4534	9			Nordihydroguaiaretic acid	3	Zm_51683
C0HFA0	102036-29-3	13846689	9			Protosappanin B	0	Zm_51683
C0HFA0	108853-14-1	176096	9			Dendrophenol	1	Zm_51683
C0HFA0	520-11-6	5317284	9			6-Methoxyluteolin	24	Zm_51683
C0HFA0	41060-15-5	5320053	9			Neobavaisoflavone	0	Zm_51683
C0HFA0	19879-32-4	5321775	9			Bavachin	6	Zm_51683
C0HFA0	67979-25-3	155011	9			Aurantio-obtusin	38	Zm_51683
C0HFA0	18085-97-7	5379096	9			Jaceosidin	36	Zm_51683
C0HFA0	906-33-2	5280633	9			Neochlorogenic acid	0	Zm_51683
C0HFA0	548-76-5	5464170	9			Irigenin	4	Zm_51683
C0HFA0	27208-80-6	5281718	9			Polydatin	0	Zm_51683
B4FG90	500-65-2	5320954	10	GRMZM2G043295P01		Rhapontigenin	75	Zm_43295
B4FG90	446-72-0	5280961	10	GRMZM2G043295P01		Genistein	34	Zm_43295
B4FG90	520-36-5	5280443	10	GRMZM2G043295P01		Apigenin	83	Zm_43295
B4FG90	491-70-3	5280445	10	GRMZM2G043295P01		Luteolin	77	Zm_43295
B4FG90	4773-96-0	5281647	10	GRMZM2G043295P01		Mangiferin	1	Zm_43295
B4FG90	3681-93-4	5280441	10	GRMZM2G043295P01		Vitexin	8	Zm_43295
B4FG90	1126-61-0	70775	10	GRMZM2G043295P01		4-Allylpyrocatechol	6	Zm_43295
B4FG90	13677-79-7	83651	10	GRMZM2G043295P01		2,3,4-Trihydroxybenzoic acid	0	Zm_43295
B4FG90	451-13-8	780	10	GRMZM2G043295P01		Homogentisic acid	0	Zm_43295
B4FG90	31721-94-5	5281343	10	GRMZM2G043295P01		5,7-Dihydroxychromone	30	Zm_43295
B4FG90	1983-81-9	54679630	10	GRMZM2G043295P01		4,7-DIHYDROXYCOUMARIN	0	Zm_43295
B4FG90	708-53-2	12820	10	GRMZM2G043295P01		2',3'-Dihydroxy-4'-methoxyacetophenone	44	Zm_43295
B4FG90	529-84-0	5319502	10	GRMZM2G043295P01		4-Methylesculetin	57	Zm_43295
B4FG90	2107-76-8	5354284	10	GRMZM2G043295P01		4-Methyllimetol	89	Zm_43295
B4FG90	3843-74-1	689075	10	GRMZM2G043295P01		Methyl caffeate acid	47	Zm_43295
B4FG90	4707-47-5	238398	10	GRMZM2G043295P01		Atraric acid	56	Zm_43295
B4FG90	69039-02-7	155240	10	GRMZM2G043295P01		Hydroxytyrosol Acetate	1	Zm_43295
B4FG90	121-79-9	4947	10	GRMZM2G043295P01		Propyl gallate	52	Zm_43295
B4FG90	606-12-2	220295	10	GRMZM2G043295P01		2,4'-Dihydroxybenzophenone	19	Zm_43295
B4FG90	531-95-3	91469	10	GRMZM2G043295P01		Equol	12	Zm_43295
B4FG90	33626-08-3	6255462	10	GRMZM2G043295P01		4'-Methoxyresveratrol	15	Zm_43295
B4FG90	86361-55-9	45382232	10	GRMZM2G043295P01		Gnetol	7	Zm_43295
B4FG90	842-01-3	5413034	10	GRMZM2G043295P01		7,8-Dihydroxy-4-phenylcoumarin	43	Zm_43295
B4FG90	7758-73-8	5398649	10	GRMZM2G043295P01		5,7-Dihydroxy-4-phenylcoumarin	40	Zm_43295
B4FG90	32507-66-7	5318650	10	GRMZM2G043295P01		Isorhapontigenin	46	Zm_43295
B4FG90	17817-31-1	5284649	10	GRMZM2G043295P01		6,7,4'-Trihydroxyisoflavone	64	Zm_43295
B4FG90	487-52-5	5281222	10	GRMZM2G043295P01		Butein	58	Zm_43295
B4FG90	20575-57-9	5280448	10	GRMZM2G043295P01		Calycosin	21	Zm_43295
B4FG90	480-11-5	5320315	10	GRMZM2G043295P01		Oroxylin A	48	Zm_43295
B4FG90	104594-70-9	5281787	10	GRMZM2G043295P01		Caffeic Acid Phenethyl Ester	72	Zm_43295
B4FG90	2957-21-3	73571	10	GRMZM2G043295P01		Sakuranetin	13	Zm_43295
B4FG90	552-58-9	440735	10	GRMZM2G043295P01		Eriodictyol	13	Zm_43295
B4FG90	480-20-6	122850	10	GRMZM2G043295P01		Aromadendrin	31	Zm_43295
B4FG90	1447-88-7	5281628	10	GRMZM2G043295P01		Hispidulin	79	Zm_43295
B4FG90	548-77-6	5281811	10	GRMZM2G043295P01		Tectorigenin	23	Zm_43295
B4FG90	37308-75-1	6293081	10	GRMZM2G043295P01		Flavokawain C	10	Zm_43295
B4FG90	500-38-9	4534	10	GRMZM2G043295P01		Nordihydroguaiaretic acid	9	Zm_43295
B4FG90	102036-29-3	13846689	10	GRMZM2G043295P01		Protosappanin B	0	Zm_43295
B4FG90	108853-14-1	176096	10	GRMZM2G043295P01		Dendrophenol	1	Zm_43295
B4FG90	520-11-6	5317284	10	GRMZM2G043295P01		6-Methoxyluteolin	65	Zm_43295
B4FG90	41060-15-5	5320053	10	GRMZM2G043295P01		Neobavaisoflavone	0	Zm_43295
B4FG90	19879-32-4	5321775	10	GRMZM2G043295P01		Bavachin	36	Zm_43295
B4FG90	67979-25-3	155011	10	GRMZM2G043295P01		Aurantio-obtusin	62	Zm_43295
B4FG90	18085-97-7	5379096	10	GRMZM2G043295P01		Jaceosidin	64	Zm_43295
B4FG90	906-33-2	5280633	10	GRMZM2G043295P01		Neochlorogenic acid	0	Zm_43295
B4FG90	548-76-5	5464170	10	GRMZM2G043295P01		Irigenin	18	Zm_43295
B4FG90	27208-80-6	5281718	10	GRMZM2G043295P01		Polydatin	1	Zm_43295
Q6VAB2	500-65-2	5320954	11	GRMZM2G15991P01	UGT71E1	Rhapontigenin	35	Sr_71E1
Q6VAB2	446-72-0	5280961	11	GRMZM2G15991P01	UGT71E1	Genistein	1	Sr_71E1
Q6VAB2	520-36-5	5280443	11	GRMZM2G15991P01	UGT71E1	Apigenin	0	Sr_71E1
Q6VAB2	491-70-3	5280445	11	GRMZM2G15991P01	UGT71E1	Luteolin	0	Sr_71E1
Q6VAB2	4773-96-0	5281647	11	GRMZM2G15991P01	UGT71E1	Mangiferin	1	Sr_71E1
Q6VAB2	3681-93-4	5280441	11	GRMZM2G15991P01	UGT71E1	Vitexin	0	Sr_71E1
Q6VAB2	1126-61-0	70775	11	GRMZM2G15991P01	UGT71E1	4-Allylpyrocatechol	3	Sr_71E1
Q6VAB2	13677-79-7	83651	11	GRMZM2G15991P01	UGT71E1	2,3,4-Trihydroxybenzoic acid	0	Sr_71E1
Q6VAB2	451-13-8	780	11	GRMZM2G15991P01	UGT71E1	Homogentisic acid	19	Sr_71E1
Q6VAB2	31721-94-5	5281343	11	GRMZM2G15991P01	UGT71E1	5,7-Dihydroxychromone	1	Sr_71E1
Q6VAB2	1983-81-9	54679630	11	GRMZM2G15991P01	UGT71E1	4,7-DIHYDROXYCOUMARIN	0	Sr_71E1
Q6VAB2	708-53-2	12820	11	GRMZM2G15991P01	UGT71E1	2',3'-Dihydroxy-4'-methoxyacetophenone	36	Sr_71E1
Q6VAB2	529-84-0	5319502	11	GRMZM2G15991P01	UGT71E1	4-Methylesculetin	2	Sr_71E1
Q6VAB2	2107-76-8	5354284	11	GRMZM2G15991P01	UGT71E1	4-Methyllimetol	77	Sr_71E1
Q6VAB2	3843-74-1	689075	11	GRMZM2G15991P01	UGT71E1	Methyl caffeate acid	80	Sr_71E1
Q6VAB2	4707-47-5	238398	11	GRMZM2G15991P01	UGT71E1	Atraric acid	24	Sr_71E1
Q6VAB2	69039-02-7	155240	11	GRMZM2G15991P01	UGT71E1	Hydroxytyrosol Acetate	0	Sr_71E1
Q6VAB2	121-79-9	4947	11	GRMZM2G15991P01	UGT71E1	Propyl gallate	56	Sr_71E1
Q6VAB2	606-12-2	220295	11	GRMZM2G15991P01	UGT71E1	2,4'-Dihydroxybenzophenone	35	Sr_71E1
Q6VAB2	531-95-3	91469	11	GRMZM2G15991P01	UGT71E1	Equol	0	Sr_71E1
Q6VAB2	33626-08-3	6255462	11	GRMZM2G15991P01	UGT71E1	4'-Methoxyresveratrol	96	Sr_71E1
Q6VAB2	86361-55-9	45382232	11	GRMZM2G15991P01	UGT71E1	Gnetol	80	Sr_71E1
Q6VAB2	842-01-3	5413034	11	GRMZM2G15991P01	UGT71E1	7,8-Dihydroxy-4-phenylcoumarin	46	Sr_71E1
Q6VAB2	7758-73-8	5398649	11	GRMZM2G15991P01	UGT71E1	5,7-Dihydroxy-4-phenylcoumarin	24	Sr_71E1
Q6VAB2	32507-66-7	5318650	11	GRMZM2G15991P01	UGT71E1	Isorhapontigenin	55	Sr_71E1
Q6VAB2	17817-31-1	5284649	11	GRMZM2G15991P01	UGT71E1	6,7,4'-Trihydroxyisoflavone	0	Sr_71E1
Q6VAB2	487-52-5	5281222	11	GRMZM2G15991P01	UGT71E1	Butein	0	Sr_71E1
Q6VAB2	20575-57-9	5280448	11	GRMZM2G15991P01	UGT71E1	Calycosin	13	Sr_71E1
Q6VAB2	480-11-5	5320315	11	GRMZM2G15991P01	UGT71E1	Oroxylin A	0	Sr_71E1
Q6VAB2	104594-70-9	5281787	11	GRMZM2G15991P01	UGT71E1	Caffeic Acid Phenethyl Ester	39	Sr_71E1
Q6VAB2	2957-21-3	73571	11	GRMZM2G15991P01	UGT71E1	Sakuranetin	0	Sr_71E1
Q6VAB2	552-58-9	440735	11	GRMZM2G15991P01	UGT71E1	Eriodictyol	2	Sr_71E1
Q6VAB2	480-20-6	122850	11	GRMZM2G15991P01	UGT71E1	Aromadendrin	16	Sr_71E1
Q6VAB2	1447-88-7	5281628	11	GRMZM2G15991P01	UGT71E1	Hispidulin	0	Sr_71E1
Q6VAB2	548-77-6	5281811	11	GRMZM2G15991P01	UGT71E1	Tectorigenin	0	Sr_71E1
