enzyme	cid
AAD32892.1 F14N23.30 [Arabidopsis thaliana]	50591
AAD38265.1 Similar to Flavonol 3-O-Glucosyltransferase [Arabidopsis thaliana]	50591
AAD38266.1 Similar to Flavonol 3-O-Glucosyltransferase [Arabidopsis thaliana]	50591
AAD41824.1 mycarosyl transferase TylCV [Streptomyces fradiae]	50591
AAD51732.1 UDP glucuronosyltransferase UGT2A3 [Cavia porcellus]	50591
AAD51778.1 zeatin O-xylosyltransferase [Phaseolus vulgaris]	50591
AAD55985.1 UDP-galactose:flavonol 3-O-galactosyltransferase [Petunia x hybrida]	50591
AAE72078.1 Sequence 33 from patent US 6235278	50591
AAF12451.1 glycosyltransferase, putative [Deinococcus radiodurans R1]	50591
AAF14353.1 UDP-glucuronosyltransferase 2B23 precursor [Macaca fascicularis]	50591
AAF14850.1 putative UDP-glucosyl transferase [Arabidopsis thaliana]	50591
AAF15546.1 UDP-glucuronosyltransferase UGT1A09 [Macaca fascicularis]	50591
AAF15547.1 UDP-glucuronosyltransferase UGT1A06 [Macaca fascicularis]	50591
AAF15548.1 UDP-glucuronosyltransferase UGT1A08 [Macaca fascicularis]	50591
AAF15549.1 UDP-glucuronosyltransferase UGT1A01 [Macaca fascicularis]	50591
AAF17077.1 UDP-glucose glucosyltransferase [Sorghum bicolor]	50591
AAF18537.1 Putative UDP-glucose glucosyltransferase [Arabidopsis thaliana]	50591
AAF19756.1 Contains similarity to gb|AF000372 UDP glucose:flavanoid 3-o-glucosyltransferase from Vitis vinifera, and is a member of the UDP-gulcoronosyl and UDP-glucosyl transferase family PF|00201. ESTs gb|AA586155, gb|T45239 come from this gene [Arabidopsis thaliana]	50591
AAF33557.1 ORF27 egt [Spodoptera exigua multiple nucleopolyhedrovirus]	50591
AAF46872.3 UDP-glycosyltransferase family 317 member A1, isoform A [Drosophila melanogaster]	50591
AAF52483.2 UDP-glycosyltransferase family 307 member A1 [Drosophila melanogaster]	50591
AAF53569.1 UDP-glycosyltransferase family 37 member C2, isoform A [Drosophila melanogaster]	50591
AAF53570.1 CG13271-PA [Drosophila melanogaster]	50591
AAF53571.1 UDP-glycosyltransferase family 37 member D1, isoform A [Drosophila melanogaster]	50591
AAF53673.2 UDP-glycosyltransferase family 301 member D1, isoform A [Drosophila melanogaster]	50591
AAF53708.1 UDP-glycosyltransferase family 36 member F1 [Drosophila melanogaster]	50591
AAF53709.1 UDP-glycosyltransferase family 36 member D1, isoform A [Drosophila melanogaster]	50591
AAF53888.2 UDP-glycosyltransferase family 37 member A1 [Drosophila melanogaster]	50591
AAF54586.1 CG6633-PA [Drosophila melanogaster]	50591
AAF54589.1 UDP-glycosyltransferase family 302 member K1, isoform A [Drosophila melanogaster]	50591
AAF54590.2 UDP-glycosyltransferase family 302 member E1 [Drosophila melanogaster]	50591
AAF54591.1 UDP-glycosyltransferase family 302 member C1 [Drosophila melanogaster]	50591
AAF54593.3 UDP-glycosyltransferase family 35 member E1 [Drosophila melanogaster]	50591
AAF54595.1 UDP-glycosyltransferase family 35 member B1 [Drosophila melanogaster]	50591
AAF54596.1 UDP-glycosyltransferase family 35 member A1 [Drosophila melanogaster]	50591
AAF54861.1 UDP-glycosyltransferase family 37 member A2 [Drosophila melanogaster]	50591
AAF54862.1 CG5999 [Drosophila melanogaster]	50591
AAF55892.4 CG6475-PB [Drosophila melanogaster]	50591
AAF56143.1 UDP-glycosyltransferase family 303 member B3 [Drosophila melanogaster]	50591
AAF57149.2 UDP-glycosyltransferase family 35 member D1 [Drosophila melanogaster]	50591
AAF57946.1 UDP-glycosyltransferase family 37 member C1 [Drosophila melanogaster]	50591
AAF61647.1 UDP-glucose:salicylic acid glucosyltransferase [Nicotiana tabacum]	50591
AAF71773.1 NysDI [Streptomyces noursei ATCC 11455]	50591
AAF71803.1 F3F9.19 [Arabidopsis thaliana]	50591
AAF78145.1 UDP-glucuronosyltransferase [Homo sapiens]	50591
AAF79730.1 T25N20.21 [Arabidopsis thaliana]	50591
AAF79732.1 T25N20.18 [Arabidopsis thaliana]	50591
AAF80123.1 Contains similarity to UDPG glucosyltransferase from Solanum berthaultii gi|2232354 and contains UDP-glycoronysyl and UDP-glucosyl transferases PF|00201 domain. ESTs gb|AV551176, gb|Z46581, gb|AV439781, gb|AV542358, gb|AV525326, gb|AV538963, gb|Z46580, gb|AV547292, gb|AV532314, gb|AV565317, gb|AV542340 come from this gene [Arabidopsis thaliana]	50591
AAF82195.1 Strong similarity to an unknown flavonol 3-o-glucosyltransferase At2g29740 gi|3582341 from Arabidopsis thaliana BAC T27A16 gb|AC005496. It contains a UDP-glucoronosyl and UDP-glucosyl transferases domain PF|00201. ESTs gb|T46737, gb|AI993247, gb|T76043, gb|AV550669, gb|AV538399 and gb|AA720097 come from this gene [Arabidopsis thaliana]	50591
AAF87255.1 Strong similarity to UDP-glucose glucosyltransferase from Arabidopsis thaliana gb|AB016819 and contains a UDP-glucosyl transferase PF|00201 domain. ESTs gb|U74128, gb|AA713257 come from this gene [Arabidopsis thaliana]	50591
AAF87256.1 Identical to UDP-glucose glucosyltransferase from Arabidopsis thaliana gb|AB016819 and contains a UDP-glucosyl transferase PF|00201 domain. ESTs gb|T46254, gb|R83990, gb|H37246, gb|W43072, gb|R90721, gb|R90712, gb|AA712612, gb|AA404770 come from this gene [Arabidopsis thaliana]	50591
AAF87257.1 Strong similarity to UDP-glucose glucosyltransferase from Arabidopsis thaliana gb|AB016819 and contains a UDP-glucosyl transferase PF|00201 domain [Arabidopsis thaliana]	50591
AAF87258.1 Strong similarity to UDP-glucose glucosyltransferase from Arabidopsis thaliana gb|AB016819 and contains a UDP-glucosyl transferase PF|00201 domain [Arabidopsis thaliana]	50591
AAF87877.1 Putative glucosyl transferase [Arabidopsis thaliana]	50591
AAF97321.1 Similar to UTP-glucose glucosyltransferases [Arabidopsis thaliana]	50591
AAF98390.1 UDP-glucose:sinapate glucosyltransferase [Brassica napus]	50591
AAF99874.2 Hypothetical protein C23G10.6 [Caenorhabditis elegans]	50591
AAG06866.1 rhamnosyltransferase chain B [Pseudomonas aeruginosa PAO1]	50591
AAG17388.1 egt-like protein [Helicoverpa zea single nucleopolyhedrovirus]	50591
AAG18591.1 Contains similarity to an unknown flavonol 3-o-glucosyltransferase At2g29750 gi|3582329 from Arabidopsis thaliana BAC T27A16 gb|AC005496. It contains a UDP-glucoronosyl and UDP-glucosyl transferases domain PF|00201. ESTs gb|AI997635, gb|T13644, gb|AV546216 and gb|AI996826 come from this gene [Arabidopsis thaliana]	50591
AAG18592.1 Contains similarity to an unknown flavonol 3-o-glucosyltransferase At2g29750 gi|3582329 from Arabidopsis thaliana BAC T27A16 gb|AC005496. It contains a UDP-glucoronosyl and UDP-glucosyl transferases domain PF|00201. ESTs gb|AI993795, gb|N97301 and gb|Z18063 come from this gene [Arabidopsis thaliana]	50591
AAG21377.1 UDP-Glucuronosyltransferase UGT2B9*2 [Macaca mulatta]	50591
AAG21378.1 UDP-Glucuronosyltransferase UGT2B33 [Macaca mulatta]	50591
AAG21670.1 glucosyl transferase, putative; 93894-95315 [Arabidopsis thaliana]	50591
AAG25643.1 UDP-glucosyltransferase HRA25 [Phaseolus vulgaris]	50591
AAG30420.1 UDP glucuronosyltransferase 1A6 [Homo sapiens]	50591
AAG30421.1 UDP glucuronosyltransferase 1A5 [Homo sapiens]	50591
AAG30423.1 UDP glucuronosyltransferase 1A3 [Homo sapiens]	50591
AAG50437.1 ecdysteroid UDP-glucosyltransferase [Choristoneura fumiferana granulovirus]	50591
AAG53869.1 egt [Helicoverpa armigera nucleopolyhedrovirus G4]	50591
AAH22134.1 UDP glycosyltransferases 3 family, polypeptide A2 [Mus musculus]	50591
AAH55635.1 UDP glucuronosyltransferase 1 family a, b [Danio rerio]	50591
AAH82844.1 LOC494747 protein [Xenopus laevis]	50591
AAH93324.1 Zgc:136652 protein, partial [Danio rerio]	50591
AAH93340.1 Zgc:112491 [Danio rerio]	50591
AAH93347.1 Ugt1ab protein [Danio rerio]	50591
AAH93516.1 UDP glucuronosyltransferase 1 family, polypeptide A1 [Mus musculus]	50591
AAI00056.1 Ugt1aa protein, partial [Danio rerio]	50591
AAI12642.1 UDP glucuronosyltransferase 2 family, polypeptide B10 [Bos taurus]	50591
AAI15989.1 UDP glycosyltransferase 3 family, polypeptide A1 [Bos taurus]	50591
AAI24252.1 Zgc:153113 [Danio rerio]	50591
AAI25921.1 Unknown (protein for IMAGE:7054100), partial [Danio rerio]	50591
AAI29591.1 LOC100037183 protein, partial [Xenopus laevis]	50591
AAI34490.1 UGT8 protein [Bos taurus]	50591
AAI46248.1 UGT2A3 protein [Bos taurus]	50591
AAI52627.1 LOC100006320 protein, partial [Danio rerio]	50591
AAI57227.1 LOC100135191 protein [Xenopus tropicalis]	50591
AAI60792.1 LOC100145362 protein [Xenopus (Silurana) tropicalis]	50591
AAI60965.1 LOC100145398 protein [Xenopus (Silurana) tropicalis]	50591
AAK16172.1 putative glucosyltransferase [Oryza sativa Japonica Group]	50591
AAK16175.1 putative glucosyltransferase [Oryza sativa Japonica Group]	50591
AAK16178.1 putative glucosyltransferase [Oryza sativa Japonica Group]	50591
AAK16180.1 putative glucosyltransferase [Oryza sativa Japonica Group]	50591
AAK16234.1 UDP-galactose ceramide galactosyltransferase [Gallus gallus]	50591
AAK31597.1 UDP-glucuronosyltransferase UGT1A01 [Macaca mulatta]	50591
AAK31807.1 UDP-glucuronosyltransferase type 1 [Homo sapiens]	50591
AAK50110.1 AT3g21760/MSD21_7 [Arabidopsis thaliana]	50591
AAK52183.1 Hypothetical protein C18C4.3 [Caenorhabditis elegans]	50591
AAK53551.1 cis-zeatin O-glucosyltransferase [Zea mays]	50591
AAK54465.1 cold-induced glucosyl transferase [Solanum sogarandinum]	50591
AAK59668.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAK70801.1 ORF141 EGT [Cydia pomonella granulovirus]	50591
AAK72318.1 Hypothetical protein Y49C4A.8a [Caenorhabditis elegans]	50591
AAK73112.1 UDPG-flavonoid 3-O-glucosyl transferase [Zea mays]	50591
AAK73511.1 AmphDI [Streptomyces nodosus]	50591
AAK76791.1 Glycosyl transferase (plasmid) [Clostridium acetobutylicum ATCC 824]	50591
AAK80662.1 Predicted glycosyl transferase from UDP-glucuronosyltransferase family [Clostridium acetobutylicum ATCC 824]	50591
AAK82354.1 ecdysteroid UDP-glycosyltransferase [Epinotia aporema granulovirus]	50591
AAK82559.1 AT3g46660/F12A12_180 [Arabidopsis thaliana]	50591
AAK83619.1 AT3g50740/T3A5_120 [Arabidopsis thaliana]	50591
AAL02080.1 ecdysteroid UDP-glucosyltransferase [Adoxophyes orana granulovirus]	50591
AAL15277.1 AT4g15490/dl3785c [Arabidopsis thaliana]	50591
AAL32746.1 Putative UTP-glucose glucosyltransferase [Arabidopsis thaliana]	50591
AAL32831.1 putative protein [Arabidopsis thaliana]	50591
AAL48539.1 RE02574p [Drosophila melanogaster]	50591
AAL49054.1 RE52038p [Drosophila melanogaster]	50591
AAL49089.1 RE54684p [Drosophila melanogaster]	50591
AAL56136.1 ORF130 [Helicoverpa zea single nucleopolyhedrovirus]	50591
AAL57037.1 UDP-glucosyltransferase BX8 [Zea mays]	50591
AAL57652.1 AT4g34130/F28A23_110 [Arabidopsis thaliana]	50591
AAL60145.1 UDP-glucuronosyltransferase 2B30 [Macaca fascicularis]	50591
AAL67853.1 UDP-glucuronosyltransferase 1A6 [Rattus norvegicus]	50591
AAL69494.1 putative glucosyltransferase, partial [Arabidopsis thaliana]	50591
AAL83350.1 Putative anthocyanidin-3-glucoside rhamnosyltransferase [Oryza sativa Japonica Group]	50591
AAL92460.1 cis-zeatin O-glucosyltransferase 2 [Zea mays]	50591
AAL92461.1 putative glucosyltransferase [Solanum lycopersicum]	50591
AAM09513.2 putative glucosyltransferase [Glycine max]	50591
AAM09514.2 zeatin O-glucosyltransferase [Glycine max]	50591
AAM09515.1 putative glucosyltransferase [Glycine max]	50591
AAM09516.1 putative glucosyltransferase [Phaseolus lunatus]	50591
AAM09517.1 putative glucosyltransferase [Phaseolus lunatus]	50591
AAM12787.1 putative anthocyanidine rhamnosyl-transferase [Capsicum annuum]	50591
AAM47589.1 putative glucosyl transferase [Sorghum bicolor]	50591
AAM47590.1 putative glucosyl transferase [Sorghum bicolor]	50591
AAM47591.1 putative glucosyl transferase [Sorghum bicolor]	50591
AAM47592.1 putative glucosyl transferase [Sorghum bicolor]	50591
AAM47593.1 putative glucosyl transferase [Sorghum bicolor]	50591
AAM47594.1 putative glucosyl transferase [Sorghum bicolor]	50591
AAM70348.1 CalG2 [Micromonospora echinospora]	50591
AAM70365.1 CalG4 [Micromonospora echinospora]	50591
AAM74300.1 Putative glucosyl transferase [Oryza sativa Japonica Group]	50591
AAM94296.1 putative glucosyl transferase [Sorghum bicolor]	50591
AAM95021.1 putative ecdysteroid UDP-glucosyltransferase [Mamestra configurata nucleopolyhedrovirus B]	50591
AAN08182.1 Putative glucosyl transferase [Oryza sativa (japonica cultivar-group)]	50591
AAN13000.1 putative UDP-glucose:indole-3-acetate beta-D-glucosyltransferase [Arabidopsis thaliana]	50591
AAN40684.1 UDP-glucosyltransferase [Stevia rebaudiana]	50591
AAN72025.1 indole-3-acetate beta-glucosyltransferase like protein [Arabidopsis thaliana]	50591
AAN76090.1 IroB (plasmid) [Escherichia coli]	50591
AAN79728.1 Putative glucosyltransferase [Escherichia coli CFT073]	50591
AAN85566.1 UDP-glucosyl transferase [Fragaria x ananassa]	50591
AAN85597.1 Zeaxanthin Glucosyl Transferase [Pantoea stewartii]	50591
AAO18436.1 putative UDP-glucosyltransferase [Oryza sativa Japonica Group]	50591
AAO21409.1 Udp-glucuronosyltransferase protein 31 [Caenorhabditis elegans]	50591
AAO38488.1 putative Glu synthetase [Oryza sativa Japonica Group]	50591
AAO63434.1 At4g27570 [Arabidopsis thaliana]	50591
AAP09035.1 Macrolide glycosyltransferase [Bacillus cereus ATCC 14579]	50591
AAP09752.1 Macrolide glycosyltransferase [Bacillus cereus ATCC 14579]	50591
AAP13007.1 putative immediate-early salicylate-induced glucosyltransferase [Oryza sativa Japonica Group]	50591
AAP21423.1 putative immediate-early salicylate-induced glucosyltransferase [Oryza sativa Japonica Group]	50591
AAP25969.1 glycosyltransferase, MGT family [Bacillus anthracis str. Ames]	50591
AAP26486.2 putative glycosyltransferase [Bacillus anthracis str. Ames]	50591
AAP37678.1 At2g15490 [Arabidopsis thaliana]	50591
AAP42470.1 IroB (plasmid) [Escherichia coli]	50591
AAP48595.1 UDP glycosyltransferase 1 family polypeptide A5 [Mus musculus]	50591
AAP48597.1 UDP glycosyltransferase 1 family polypeptide A9 [Mus musculus]	50591
AAP48598.1 UDP glycosyltransferase 1 family polypeptide A10 [Mus musculus]	50591
AAP48599.1 UDP glycosyltransferase 1 family polypeptide A12 [Mus musculus]	50591
AAP48600.1 UDP glycosyltransferase 1 family polypeptide A13 [Mus musculus]	50591
AAP53972.1 UDP-glucoronosyl and UDP-glucosyl transferase family protein, expressed [Oryza sativa Japonica Group]	50591
AAP78736.1 UDPGT-like 1 [Branchiostoma floridae]	50591
AAP78737.1 UDPGT-like 2 [Branchiostoma floridae]	50591
AAP79109.1 ecdysteroid UDP-glucosyltransferase [Spodoptera frugiperda multiple nucleopolyhedrovirus]	50591
AAP88404.1 flavonoid glucosyl-transferase [Allium cepa]	50591
AAP88405.1 flavonoid glucosyl-transferase [Allium cepa]	50591
AAP88406.1 flavonoid glucosyl-transferase [Allium cepa]	50591
AAP88407.1 flavonoid glucosyl-transferase [Allium cepa]	50591
AAP94878.1 glucosyltransferase 2 [Crocus sativus]	50591
AAQ11058.1 EGT [Mamestra configurata nucleopolyhedrovirus A]	50591
AAQ21723.1 egt [Cryptophlebia leucotreta granulovirus]	50591
AAQ56280.1 glucosyltransferase-like protein [Crocus sativus]	50591
AAQ82555.1 FscMI [Streptomyces sp. FR-008]	50591
AAQ87196.1 Macrolide glycosyltransferase (plasmid) [Sinorhizobium fredii NGR234]	50591
AAQ88782.1 glucuronosyltransferase [Homo sapiens]	50591
AAR06912.1 UDP-glycosyltransferase 76G1 [Stevia rebaudiana]	50591
AAR06913.1 UDP-glycosyltransferase 85A8 [Stevia rebaudiana]	50591
AAR06914.1 UDP-glycosyltransferase 71E1 [Stevia rebaudiana]	50591
AAR06915.1 UDP-glycosyltransferase 76H1 [Stevia rebaudiana]	50591
AAR06916.1 UDP-glycosyltransferase 85C2 [Stevia rebaudiana]	50591
